GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIN,DEN
2023111911,2023-11-19,2,2,0,MIN,DEN,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1680,0,0
2023111911,2023-11-19,2,1,23,MIN,DEN,3,1,52,0,0,(1:23) (SHOTGUN) 15-J.DOBBS PASS INCOMPLETE SHORT LEFT TO 2-A.MATTISON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,1717,0,0
2023111911,2023-11-19,2,1,19,MIN,DEN,4,1,52,0,0,"(1:19) 14-R.WRIGHT PUNTS 48 YARDS TO END ZONE, CENTER-42-A.DEPAOLA, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,1721,0,0
2023111911,2023-11-19,2,1,11,DEN,MIN,0,0,100,1,0,TIMEOUT AT 01:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1729,0,0
2023111911,2023-11-19,2,1,11,DEN,MIN,1,10,20,0,0,(1:11) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 19-M.MIMS TO DEN 28 FOR 8 YARDS (45-T.DYE).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,1729,0,0
2023111911,2023-11-19,2,0,52,DEN,MIN,2,2,28,1,0,"(:52) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS DEEP MIDDLE TO 82-A.TRAUTMAN TO DEN 47 FOR 19 YARDS (22-H.SMITH).",0,2023,19,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,1748,0,0
2023111911,2023-11-19,2,0,47,DEN,MIN,0,0,100,1,0,TIMEOUT #1 BY DEN AT 00:47.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1753,0,0
2023111911,2023-11-19,2,0,47,DEN,MIN,1,10,47,1,0,(:47) (SHOTGUN) 3-R.WILSON PASS SHORT MIDDLE TO 82-A.TRAUTMAN TO MIN 39 FOR 14 YARDS (24-C.BYNUM) [22-H.SMITH].,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,1753,0,0
2023111911,2023-11-19,2,0,23,DEN,MIN,1,10,61,0,0,"(:23) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS SHORT MIDDLE TO 25-S.PERINE TO MIN 34 FOR 5 YARDS (40-I.PACE, 44-J.METELLUS).",0,2023,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,1777,0,0
2023111911,2023-11-19,2,0,17,DEN,MIN,0,0,100,1,0,TIMEOUT #2 BY DEN AT 00:17.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1783,0,0
2023111911,2023-11-19,2,0,17,DEN,MIN,2,5,66,0,0,(:17) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT [91-P.JONES].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,1783,0,0
2023111911,2023-11-19,2,0,11,DEN,MIN,0,0,100,1,0,TIMEOUT #1 BY MIN AT 00:11.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1789,0,0
2023111911,2023-11-19,2,0,11,DEN,MIN,3,5,66,0,0,(:11) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE DEEP MIDDLE TO 10-J.JEUDY (44-J.METELLUS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,1789,0,0
2023111911,2023-11-19,2,0,5,DEN,MIN,0,0,100,1,0,TIMEOUT #2 BY MIN AT 00:05.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1795,0,0
2023111911,2023-11-19,2,0,5,DEN,MIN,4,5,66,0,0,"(:05) 16-W.LUTZ 52 YARD FIELD GOAL IS GOOD, CENTER-48-M.FRABONI, HOLDER-9-R.DIXON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,1795,0,0
2023111911,2023-11-19,3,15,0,DEN,MIN,0,0,65,1,0,"1-G.JOSEPH KICKS 65 YARDS FROM MIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1800,0,0
2023111911,2023-11-19,3,15,0,DEN,MIN,1,10,25,0,0,(15:00) 75-Q.BAILEY REPORTED IN AS ELIGIBLE.  33-J.WILLIAMS RIGHT TACKLE TO DEN 24 FOR -1 YARDS (97-H.PHILLIPS).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,1800,0,0
2023111911,2023-11-19,2,0,0,DEN,MIN,0,0,100,1,0,END QUARTER 2,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1800,0,0
