GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,PIT
2023111901,2023-11-19,1,1,16,CLE,PIT,1,10,10,0,0,(1:16) 53-N.HARRIS REPORTED IN AS ELIGIBLE.  20-P.STRONG RIGHT END TO CLE 11 FOR 1 YARD (56-A.HIGHSMITH).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,10,OWN,0,,0,,0,824,0,0
2023111901,2023-11-19,1,1,16,CLE,PIT,0,0,100,1,0,TIMEOUT AT 01:16.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,824,0,0
2023111901,2023-11-19,1,0,38,CLE,PIT,2,9,11,0,0,(:38) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS INCOMPLETE SHORT LEFT TO 85-D.NJOKU.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,862,0,0
2023111901,2023-11-19,1,0,35,CLE,PIT,3,9,11,0,0,"(:35) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS SHORT MIDDLE TO 85-D.NJOKU TO CLE 19 FOR 8 YARDS (50-E.ROBERTS, 23-D.KAZEE).",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,865,0,0
2023111901,2023-11-19,2,15,0,CLE,PIT,4,1,19,0,0,"(15:00) 13-C.BOJORQUEZ PUNTS 65 YARDS TO PIT 16, CENTER-47-C.HUGHLETT, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,900,0,0
2023111901,2023-11-19,1,0,0,CLE,PIT,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023111901,2023-11-19,2,14,52,PIT,CLE,1,10,16,0,0,"(14:52) (SHOTGUN) 22-N.HARRIS UP THE MIDDLE TO PIT 25 FOR 9 YARDS (22-G.DELPIT, 23-M.EMERSON).",0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,16,OWN,0,,0,,0,908,0,0
2023111901,2023-11-19,2,14,11,PIT,CLE,2,1,25,0,0,(14:11) 8-K.PICKETT PASS INCOMPLETE SHORT LEFT TO 22-N.HARRIS (93-S.HARRIS).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,949,0,0
2023111901,2023-11-19,2,14,8,PIT,CLE,3,1,25,1,0,"(14:08) 30-J.WARREN RIGHT END TO PIT 28 FOR 3 YARDS (22-G.DELPIT, 91-A.WRIGHT).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,952,0,0
2023111901,2023-11-19,2,13,21,PIT,CLE,1,10,28,0,0,"(13:21) (SHOTGUN) PENALTY ON PIT, DELAY OF GAME, 5 YARDS, ENFORCED AT PIT 28 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,28,OWN,1,PIT,1,DELAY OF GAME,5,999,0,0
2023111901,2023-11-19,2,13,11,PIT,CLE,1,15,23,0,0,(13:11) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 14-G.PICKENS RAN OB AT PIT 37 FOR 14 YARDS.,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,1009,0,0
2023111901,2023-11-19,2,12,38,PIT,CLE,2,1,37,1,0,(12:38) 30-J.WARREN RIGHT GUARD PUSHED OB AT PIT 48 FOR 11 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,37,OWN,0,,0,,0,1042,0,0
2023111901,2023-11-19,2,12,0,PIT,CLE,1,10,48,0,0,(12:00) 30-J.WARREN RIGHT END TO CLE 47 FOR 5 YARDS (96-J.ELLIOTT).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,48,OWN,0,,0,,0,1080,0,0
2023111901,2023-11-19,2,11,23,PIT,CLE,2,5,53,0,0,(11:23) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT RIGHT TO 14-G.PICKENS (93-S.HARRIS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,1117,0,0
2023111901,2023-11-19,2,11,20,PIT,CLE,3,5,53,0,0,(11:20) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT LEFT TO 18-D.JOHNSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,1120,0,0
2023111901,2023-11-19,2,11,17,PIT,CLE,4,5,53,0,0,"(11:17) 6-P.HARVIN PUNTS 36 YARDS TO CLE 11, CENTER-46-C.KUNTZ, FAIR CATCH BY 11-J.PROCHE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,1123,0,0
