GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DAL,CAR
2023111900,2023-11-19,3,11,5,DAL,CAR,4,8,37,0,0,"(11:05) 5-B.ANGER PUNTS 63 YARDS TO END ZONE, CENTER-44-T.SIEG, TOUCHBACK. PENALTY ON DAL-25-N.WRIGHT, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CAR 20.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,37,OWN,1,DAL,0,OFFENSIVE HOLDING,10,2035,0,0
2023111900,2023-11-19,3,10,57,CAR,DAL,1,10,30,0,0,(10:57) 6-M.SANDERS RIGHT END PUSHED OB AT CAR 33 FOR 3 YARDS (14-M.BELL).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,30,OWN,0,,0,,0,2043,0,0
2023111900,2023-11-19,3,10,57,CAR,DAL,0,0,100,1,0,TIMEOUT AT 10:57.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2043,0,0
2023111900,2023-11-19,3,10,22,CAR,DAL,2,7,33,1,0,(10:22) 6-M.SANDERS UP THE MIDDLE TO CAR 41 FOR 8 YARDS (14-M.BELL).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OWN,0,,0,,0,2078,0,0
2023111900,2023-11-19,3,9,42,CAR,DAL,1,10,41,0,0,(9:42) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP LEFT TO 19-A.THIELEN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,2118,0,0
2023111900,2023-11-19,3,9,36,CAR,DAL,2,10,41,0,0,"(9:36) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 19-A.THIELEN TO CAR 49 FOR 8 YARDS (2-J.LEWIS). FUMBLES (2-J.LEWIS), TOUCHED AT CAR 49, BALL OUT OF BOUNDS AT DAL 46.",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,41,OWN,0,,0,,0,2124,0,0
2023111900,2023-11-19,3,8,50,CAR,DAL,3,2,49,0,0,"(8:50) (SHOTGUN) PENALTY ON CAR-62-C.ZAVALA, FALSE START, 5 YARDS, ENFORCED AT CAR 49 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,49,OWN,1,CAR,1,FALSE START,5,2170,0,0
2023111900,2023-11-19,3,8,26,CAR,DAL,3,7,44,0,0,(8:26) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP RIGHT TO 15-J.MINGO [54-S.WILLIAMS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,2194,0,0
2023111900,2023-11-19,3,8,8,CAR,DAL,4,2,49,1,0,(8:08) 9-B.YOUNG PASS SHORT LEFT TO 19-A.THIELEN PUSHED OB AT DAL 35 FOR 16 YARDS (2-J.LEWIS).,0,2023,16,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,2212,0,0
2023111900,2023-11-19,3,7,33,CAR,DAL,1,10,65,0,0,"(7:33) (NO HUDDLE, SHOTGUN) 30-C.HUBBARD LEFT GUARD TO DAL 32 FOR 3 YARDS (26-D.BLAND; 90-D.LAWRENCE).",0,2023,3,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,35,OPP,0,,0,,0,2247,0,0
2023111900,2023-11-19,3,6,51,CAR,DAL,2,7,68,0,0,"(6:51) (NO HUDDLE, SHOTGUN) 30-C.HUBBARD LEFT TACKLE TO DAL 28 FOR 4 YARDS (33-D.CLARK; 14-M.BELL).",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,32,OPP,0,,0,,0,2289,0,0
2023111900,2023-11-19,3,6,6,CAR,DAL,3,3,72,0,0,(6:06) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT TO 82-T.TREMBLE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,2334,0,0
2023111900,2023-11-19,3,6,1,CAR,DAL,4,3,72,1,0,(6:01) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 19-A.THIELEN TO DAL 25 FOR 3 YARDS (30-J.THOMAS).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,2339,0,0
2023111900,2023-11-19,3,5,22,CAR,DAL,1,10,75,0,0,(5:22) (SHOTGUN) 6-M.SANDERS UP THE MIDDLE TO DAL 25 FOR NO GAIN (6-D.WILSON; 92-D.ARMSTRONG).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OPP,0,,0,,0,2378,0,0
