GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2023112608,2023-11-26,2,0,30,KC,LV,3,3,97,0,0,"(:30) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 84-JU.WATSON FOR 3 YARDS, TOUCHDOWN. PENALTY ON KC-84-JU.WATSON, TAUNTING, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,3,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,1,0,0,,3,OPP,1,KC,0,TAUNTING,15
2023112610,2023-11-26,1,9,27,LAC,BAL,2,9,89,0,0,"(9:27) (SHOTGUN) 10-J.HERBERT SCRAMBLES RIGHT END PUSHED OB AT BAL 6 FOR 5 YARDS (0-R.SMITH). PENALTY ON LAC-68-J.SALYER, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT BAL 6.",0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,11,OPP,1,LAC,0,UNNECESSARY ROUGHNESS,15
2023111908,2023-11-19,1,7,9,SF,TB,1,10,62,0,0,"(7:09) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE PUSHED OB AT TB 24 FOR 14 YARDS (31-A.WINFIELD). PENALTY ON SF-11-B.AIYUK, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT TB 32.",0,2023,14,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,CENTER,38,OPP,1,SF,0,OFFENSIVE HOLDING,10
2023111904,2023-11-19,1,13,28,ARI,HOU,0,0,85,0,0,"5-M.PRATER EXTRA POINT IS GOOD, CENTER-46-A.BREWER, HOLDER-12-B.GILLIKIN. PENALTY ON HOU, ILLEGAL FORMATION, 5 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,HOU,0,ILLEGAL FORMATION,5
2023111209,2023-11-12,3,8,7,NYG,DAL,0,0,85,0,0,"46-R.BULLOCK EXTRA POINT IS GOOD, CENTER-59-C.KREITER, HOLDER-6-J.GILLAN. PENALTY ON DAL-54-S.WILLIAMS, LEVERAGE, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,DAL,0,LEVERAGE,15
2023111905,2023-11-19,2,9,13,TEN,JAX,4,14,60,0,0,"(9:13) 4-R.STONEHOUSE PUNTS 39 YARDS TO JAX 1, CENTER-46-M.COX, DOWNED BY TEN-11-C.MOORE. PENALTY ON TEN-40-A.KENDALL, ILLEGAL KICK/KICKING LOOSE BALL, 10 YARDS, ENFORCED AT JAX 1.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,40,OPP,1,TEN,0,ILLEGAL KICK/KICKING LOOSE BALL,10
2023111211,2023-11-12,2,15,0,NYJ,LV,2,9,75,0,0,"(15:00) 20-BRE.HALL LEFT TACKLE PUSHED OB AT LV 14 FOR 11 YARDS (1-M.EPPS; 21-A.ROBERTSON). LV-21-A.ROBERTSON WAS INJURED DURING THE PLAY.  PENALTY ON NYJ-78-L.TOMLINSON, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT LV 20.",0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,25,OPP,1,NYJ,0,OFFENSIVE HOLDING,10
2023111211,2023-11-12,1,11,8,NYJ,LV,1,10,74,0,0,"(11:08) (SHOTGUN) 2-Z.WILSON PASS INCOMPLETE SHORT MIDDLE [98-M.CROSBY]. PENALTY ON NYJ-2-Z.WILSON, INTENTIONAL GROUNDING, 10 YARDS, ENFORCED AT LV 26.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,26,OPP,1,NYJ,0,INTENTIONAL GROUNDING,10
2023111210,2023-11-12,4,4,31,SEA,WAS,1,10,88,0,0,"(4:31) 9-K.WALKER RIGHT END TO WAS 8 FOR 4 YARDS (25-B.ST-JUSTE). PENALTY ON WAS-25-B.ST-JUSTE, FACE MASK, 4 YARDS, ENFORCED AT WAS 8.",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,12,OPP,1,WAS,0,FACE MASK,4
2023111209,2023-11-12,4,0,51,NYG,DAL,3,4,69,0,0,"(:51) (SHOTGUN) 15-T.DEVITO PASS SHORT RIGHT TO 35-J.CORBIN TO DAL 30 FOR 1 YARD (6-D.WILSON) [96-N.GALLIMORE]. PENALTY ON DAL-96-N.GALLIMORE, DISQUALIFICATION, 15 YARDS, ENFORCED AT DAL 30.",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,31,OPP,1,DAL,0,DISQUALIFICATION,15
