GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,NE
2023121711,2023-12-17,3,8,1,NE,KC,1,10,49,0,0,(8:01) 36-K.HARRIS LEFT TACKLE TO NE 47 FOR -2 YARDS (95-C.JONES).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,49,OWN,0,,0,,0,2219,0,0
2023121711,2023-12-17,3,7,27,NE,KC,2,12,47,0,0,(7:27) (SHOTGUN) 4-B.ZAPPE PASS INCOMPLETE SHORT LEFT TO 83-J.REAGOR (95-C.JONES).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,2253,0,0
2023121711,2023-12-17,3,7,19,NE,KC,3,12,47,0,0,(7:19) (SHOTGUN) 4-B.ZAPPE SACKED AT NE 37 FOR -10 YARDS (35-JA.WATSON).,0,2023,-10,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,2261,0,0
2023121711,2023-12-17,3,6,44,NE,KC,4,22,37,0,0,"(6:44) 17-B.BARINGER PUNTS 37 YARDS TO KC 26, CENTER-49-J.CARDONA, DOWNED BY NE-8-J.BENTLEY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,2296,0,0
2023121711,2023-12-17,3,6,33,NE,KC,0,0,100,1,0,TIMEOUT AT 06:33.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2307,0,0
2023121711,2023-12-17,3,6,33,KC,NE,1,10,26,1,0,(6:33) (SHOTGUN) 15-P.MAHOMES PASS SHORT MIDDLE TO 11-M.VALDES-SCANTLING TO KC 43 FOR 17 YARDS (5-J.PEPPERS).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,2307,0,0
2023121711,2023-12-17,3,5,54,KC,NE,1,10,43,1,0,(5:54) (SHOTGUN) 25-C.EDWARDS-HELAIRE UP THE MIDDLE RAN OB AT NE 37 FOR 20 YARDS (28-A.AUSTIN).,0,2023,20,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OWN,0,,0,,0,2346,0,0
2023121711,2023-12-17,3,5,17,KC,NE,1,10,63,0,0,(5:17) (SHOTGUN) 25-C.EDWARDS-HELAIRE RIGHT TACKLE TO NE 40 FOR -3 YARDS (33-A.JENNINGS).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,37,OPP,0,,0,,0,2383,0,0
2023121711,2023-12-17,3,4,35,KC,NE,2,13,60,0,0,(4:35) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE SHORT LEFT. THROWN AWAY FROM OUTSIDE THE POCKET.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,2425,0,0
2023121711,2023-12-17,3,4,28,KC,NE,3,13,60,0,0,(4:28) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 83-N.GRAY TO NE 35 FOR 5 YARDS (23-K.DUGGER).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,2432,0,0
