GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,LAC
2023092406,2023-09-24,1,1,20,MIN,LAC,1,10,36,1,0,(1:20) 32-T.CHANDLER LEFT END TO MIN 48 FOR 12 YARDS (3-D.JAMES).,0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,36,OWN,0,,0,,0,3,820,0,0
2023092406,2023-09-24,1,0,39,MIN,LAC,1,10,48,0,0,(:39) 8-K.COUSINS PASS INCOMPLETE SHORT MIDDLE TO 32-T.CHANDLER (36-J.TAYLOR).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,3,861,0,0
2023092406,2023-09-24,1,0,32,MIN,LAC,2,10,48,0,0,(:32) (SHOTGUN) 32-T.CHANDLER LEFT GUARD TO LAC 46 FOR 6 YARDS (9-K.MURRAY).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OWN,0,,0,,0,3,868,0,0
2023092406,2023-09-24,1,0,10,MIN,LAC,3,4,54,0,0,(:10) (SHOTGUN) 8-K.COUSINS SACKED AT MIN 47 FOR -7 YARDS (97-J.BOSA).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,3,890,0,0
2023092406,2023-09-24,1,0,10,MIN,LAC,0,0,100,1,0,TIMEOUT #1 BY LAC AT 00:10.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,890,0,0
2023092406,2023-09-24,2,15,0,MIN,LAC,4,11,47,0,0,"(15:00) 14-R.WRIGHT PUNTS 53 YARDS TO END ZONE, CENTER-42-A.DEPAOLA, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,3,900,0,0
2023092406,2023-09-24,1,0,0,MIN,LAC,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,900,0,0
2023092406,2023-09-24,2,14,53,LAC,MIN,1,10,20,0,0,(14:53) (SHOTGUN) 25-J.KELLEY RIGHT TACKLE TO LAC 20 FOR NO GAIN (7-B.MURPHY; 99-D.HUNTER).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,20,OWN,0,,0,,0,3,907,0,0
2023092406,2023-09-24,2,14,20,LAC,MIN,2,10,20,0,0,(14:20) (SHOTGUN) 10-J.HERBERT PASS SHORT MIDDLE TO 81-M.WILLIAMS TO LAC 29 FOR 9 YARDS (7-B.MURPHY).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,3,940,0,0
2023092406,2023-09-24,2,13,40,LAC,MIN,3,1,29,1,0,(13:40) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 7-G.EVERETT PUSHED OB AT LAC 31 FOR 2 YARDS (21-A.EVANS).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,3,980,0,0
2023092406,2023-09-24,2,13,4,LAC,MIN,1,10,31,0,0,(13:04) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE DEEP RIGHT TO 81-M.WILLIAMS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,3,1016,0,0
2023092406,2023-09-24,2,12,59,LAC,MIN,2,10,31,0,0,(12:59) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 12-D.DAVIS TO LAC 34 FOR 3 YARDS (44-J.METELLUS).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,3,1021,0,0
2023092406,2023-09-24,2,12,17,LAC,MIN,3,7,34,1,0,"(12:17) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 13-K.ALLEN TO LAC 43 FOR 9 YARDS (21-A.EVANS) [98-D.WONNUM]. FUMBLES (21-A.EVANS), AND RECOVERS AT LAC 43.",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,,34,OWN,0,,0,,0,3,1063,0,0
2023092406,2023-09-24,2,11,33,LAC,MIN,1,10,43,0,0,(11:33) (SHOTGUN) 28-I.SPILLER RIGHT GUARD TO LAC 44 FOR 1 YARD (40-I.PACE).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,43,OWN,0,,0,,0,3,1107,0,0
