GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,WAS,NE
2023110506,2023-11-05,1,0,0,WAS,NE,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,900,0,0
2023110506,2023-11-05,2,15,0,WAS,NE,3,1,68,1,0,"(15:00) (SHOTGUN) 24-A.GIBSON LEFT END TO NE 23 FOR 9 YARDS (27-M.BRYANT, 93-L.GUY).",0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,32,OPP,0,,0,,0,9,900,0,0
2023110506,2023-11-05,2,14,18,WAS,NE,1,10,77,0,0,(14:18) 14-S.HOWELL SCRAMBLES LEFT GUARD TO NE 18 FOR 5 YARDS (8-J.BENTLEY).,0,2023,5,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,9,942,0,0
2023110506,2023-11-05,2,13,36,WAS,NE,2,5,82,1,0,(13:36) 8-B.ROBINSON LEFT GUARD TO NE 12 FOR 6 YARDS (23-K.DUGGER).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,18,OPP,0,,0,,0,9,984,0,0
2023110506,2023-11-05,2,12,50,WAS,NE,1,10,88,0,0,(12:50) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 1-J.DOTSON TO NE 9 FOR 3 YARDS (27-M.BRYANT).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,9,1030,0,0
2023110506,2023-11-05,2,12,10,WAS,NE,2,7,91,1,0,"(12:10) 8-B.ROBINSON RIGHT END FOR 9 YARDS, TOUCHDOWN.",0,2023,9,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,9,OPP,0,,0,,0,9,1070,0,0
2023110506,2023-11-05,2,12,5,NE,WAS,1,10,25,0,0,(12:05) (SHOTGUN) 10-M.JONES PASS INCOMPLETE DEEP RIGHT TO 85-H.HENRY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,9,1075,0,0
2023110506,2023-11-05,2,12,5,NE,WAS,0,0,65,1,0,"6-J.SLYE KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,9,1075,0,0
2023110506,2023-11-05,2,12,5,NE,WAS,0,0,100,1,0,TIMEOUT AT 12:05.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,1075,0,0
2023110506,2023-11-05,2,12,5,WAS,NE,0,0,85,1,0,"6-J.SLYE EXTRA POINT IS GOOD, CENTER-54-C.CHEESEMAN, HOLDER-5-T.WAY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,9,1075,0,0
