GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,ARI
2023110503,2023-11-05,3,8,50,CLE,ARI,2,7,92,0,0,(8:50) 34-J.FORD LEFT GUARD TO ARI 5 FOR 3 YARDS (7-K.WHITE; 93-J.LEDBETTER).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,8,OPP,0,,0,,0,2170,0,0
2023110503,2023-11-05,3,8,9,CLE,ARI,3,4,95,1,0,"(8:09) (SHOTGUN) 4-D.WATSON PASS SHORT MIDDLE TO 85-D.NJOKU FOR 5 YARDS, TOUCHDOWN.",0,2023,5,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,2211,0,0
2023110503,2023-11-05,3,8,7,ARI,CLE,0,0,65,0,0,"7-D.HOPKINS KICKS 62 YARDS FROM CLE 35 TO ARI 3. 83-G.DORTCH TO ARI 14 FOR 11 YARDS (42-T.FIELDS). PENALTY ON CLE-22-G.DELPIT, TAUNTING, 15 YARDS, ENFORCED AT ARI 14.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,CLE,0,TAUNTING,15,2213,0,0
2023110503,2023-11-05,3,8,7,CLE,ARI,0,0,85,1,0,"7-D.HOPKINS EXTRA POINT IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-13-C.BOJORQUEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,2213,0,0
2023110503,2023-11-05,3,8,3,ARI,CLE,1,10,29,0,0,"(8:03) PENALTY ON CLE-90-M.HURST, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT ARI 29 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,29,OWN,1,CLE,1,DEFENSIVE OFFSIDE,5,2217,0,0
2023110503,2023-11-05,3,7,38,ARI,CLE,1,5,34,1,0,(7:38) (SHOTGUN) 15-C.TUNE PASS SHORT LEFT TO 4-R.MOORE RAN OB AT ARI 39 FOR 5 YARDS (44-S.TAKITAKI).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,2242,0,0
2023110503,2023-11-05,3,7,8,ARI,CLE,1,10,39,0,0,(7:08) 4-R.MOORE LEFT END TO ARI 43 FOR 4 YARDS (44-S.TAKITAKI).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,39,OWN,0,,0,,0,2272,0,0
2023110503,2023-11-05,3,6,31,ARI,CLE,2,6,43,0,0,"(6:31) (SHOTGUN) 4-R.MOORE RIGHT END TO ARI 44 FOR 1 YARD (29-C.MITCHELL, 94-D.TOMLINSON).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OWN,0,,0,,0,2309,0,0
2023110503,2023-11-05,3,5,53,ARI,CLE,3,5,44,0,0,(5:53) (SHOTGUN) 15-C.TUNE PASS INCOMPLETE SHORT LEFT TO 2-M.BROWN (21-D.WARD) [90-M.HURST].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,2347,0,0
2023110503,2023-11-05,3,5,50,ARI,CLE,4,5,44,0,0,"(5:50) (SHOTGUN) PENALTY ON ARI-74-D.HUMPHRIES, FALSE START, 5 YARDS, ENFORCED AT ARI 44 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,44,OWN,1,ARI,1,FALSE START,5,2350,0,0
2023110503,2023-11-05,3,5,50,ARI,CLE,4,10,39,0,0,"(5:50) 12-B.GILLIKIN PUNTS 57 YARDS TO CLE 4, CENTER-46-A.BREWER, DOWNED BY ARI-44-O.PAPPOE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,2350,0,0
2023110503,2023-11-05,3,5,39,CLE,ARI,1,10,4,0,0,(5:39) (SHOTGUN) 53-N.HARRIS REPORTED IN AS ELIGIBLE.  27-K.HUNT LEFT GUARD TO CLE 8 FOR 4 YARDS (98-R.LOPEZ; 3-B.BAKER).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,4,OWN,0,,0,,0,2361,0,0
2023110503,2023-11-05,3,5,5,CLE,ARI,2,6,8,0,0,(5:05) 27-K.HUNT LEFT GUARD TO CLE 11 FOR 3 YARDS (98-R.LOPEZ; 7-K.WHITE).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,8,OWN,0,,0,,0,2395,0,0
2023110503,2023-11-05,3,4,26,CLE,ARI,3,3,11,0,0,(4:26) (SHOTGUN) 34-J.FORD LEFT END TO CLE 8 FOR -3 YARDS (97-C.THOMAS).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,11,OWN,0,,0,,0,2434,0,0
2023110503,2023-11-05,3,3,51,CLE,ARI,4,6,8,0,0,"(3:51) 13-C.BOJORQUEZ PUNTS 65 YARDS TO ARI 27, CENTER-47-C.HUGHLETT. 83-G.DORTCH TO 50 FOR 23 YARDS (28-M.FORD).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,2469,0,0
2023110503,2023-11-05,3,3,34,ARI,CLE,1,10,100,0,0,"(3:34) (SHOTGUN) 30-K.INGRAM LEFT GUARD TO ARI 49 FOR -1 YARDS (6-J.OWUSU-KORAMOAH, 22-G.DELPIT).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,0,OPP,0,,0,,0,2486,0,0
2023110503,2023-11-05,3,2,57,ARI,CLE,2,11,49,1,0,(2:57) (SHOTGUN) 15-C.TUNE SCRAMBLES LEFT END RAN OB AT CLE 40 FOR 11 YARDS (22-G.DELPIT).,0,2023,11,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,2523,0,0
2023110503,2023-11-05,3,2,21,ARI,CLE,1,10,60,0,0,(2:21) (SHOTGUN) 15-C.TUNE PASS DEEP LEFT INTENDED FOR 85-T.MCBRIDE INTERCEPTED BY 44-S.TAKITAKI AT CLE 24. 44-S.TAKITAKI TO CLE 24 FOR NO GAIN (84-E.HIGGINS; 85-T.MCBRIDE).,0,2023,0,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,1,0,0,0,0,,40,OPP,0,,0,,0,2559,0,0
