GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,JAX
2023100800,2023-10-08,3,9,44,JAX,BUF,4,29,43,0,0,"(9:44) 9-L.COOKE PUNTS 46 YARDS TO BUF 11, CENTER-46-R.MATISCIK. 11-D.HARTY TO BUF 24 FOR 13 YARDS (48-C.MUMA). PENALTY ON BUF-16-T.SHERFIELD, ILLEGAL BLOCK ABOVE THE WAIST, 10 YARDS, ENFORCED AT BUF 20. PENALTY ON BUF-44-T.MATAKEVICH, ILLEGAL BLINDSIDE BLOCK, DECLINED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,43,OWN,0,BUF,0,ILLEGAL BLOCK ABOVE THE WAIST,0,5,2116,0,0
2023100800,2023-10-08,3,9,30,BUF,JAX,1,10,10,1,0,(9:30) 17-J.ALLEN PASS DEEP RIGHT TO 14-S.DIGGS TO JAX 42 FOR 48 YARDS (5-A.CISCO).,0,2023,48,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,5,2130,0,0
2023100800,2023-10-08,3,9,30,BUF,JAX,0,0,100,1,0,TIMEOUT AT 09:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,2130,0,0
2023100800,2023-10-08,3,8,56,BUF,JAX,1,10,58,0,0,"(8:56) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 4-J.COOK PUSHED OB AT JAX 42 FOR NO GAIN (23-F.OLUOKUN).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,5,2164,0,0
2023100800,2023-10-08,3,8,16,BUF,JAX,2,10,58,0,0,(8:16) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT TO 13-G.DAVIS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,5,2204,0,0
2023100800,2023-10-08,3,8,10,BUF,JAX,3,10,58,0,0,"(8:10) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE DEEP LEFT TO 88-D.KNOX. PENALTY ON BUF-66-C.MCGOVERN, OFFENSIVE HOLDING, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,42,OPP,0,BUF,0,OFFENSIVE HOLDING,0,5,2210,0,0
2023100800,2023-10-08,3,8,3,BUF,JAX,4,10,58,0,0,"(8:03) 8-S.MARTIN PUNTS 34 YARDS TO JAX 8, CENTER-69-R.FERGUSON, FAIR CATCH BY 39-J.AGNEW.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,5,2217,0,0
2023100800,2023-10-08,3,7,56,JAX,BUF,1,10,8,0,0,(7:56) (SHOTGUN) 1-T.ETIENNE LEFT TACKLE TO JAX 7 FOR -1 YARDS (25-T.DODSON).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,8,OWN,0,,0,,0,5,2224,0,0
2023100800,2023-10-08,3,7,56,BUF,JAX,0,0,100,1,0,TIMEOUT AT 07:56.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,2224,0,0
2023100800,2023-10-08,3,7,16,JAX,BUF,2,11,7,0,0,(7:16) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT MIDDLE TO 17-E.ENGRAM (97-J.PHILLIPS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,7,OWN,0,,0,,0,5,2264,0,0
2023100800,2023-10-08,3,7,12,JAX,BUF,3,11,7,1,0,(7:12) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 0-C.RIDLEY TO JAX 23 FOR 16 YARDS (24-K.ELAM).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,7,OWN,0,,0,,0,5,2268,0,0
2023100800,2023-10-08,3,6,26,JAX,BUF,1,10,23,0,0,(6:26) 1-T.ETIENNE RIGHT END TO JAX 26 FOR 3 YARDS (42-D.WILLIAMS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,23,OWN,0,,0,,0,5,2314,0,0
2023100800,2023-10-08,3,5,44,JAX,BUF,2,7,26,0,0,(5:44) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT RIGHT TO 15-T.JONES [7-TA.JOHNSON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,5,2356,0,0
2023100800,2023-10-08,3,5,40,JAX,BUF,3,7,26,1,0,(5:40) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 0-C.RIDLEY TO JAX 36 FOR 10 YARDS (23-M.HYDE). BUF-7-TA.JOHNSON WAS INJURED DURING THE PLAY.,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,5,2360,0,0
2023100800,2023-10-08,3,5,29,JAX,BUF,0,0,100,1,0,TIMEOUT AT 05:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,2371,0,0
