GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LV,GB
2023100900,2023-10-09,1,0,58,LV,GB,1,10,55,0,0,(:58) (SHOTGUN) 8-J.JACOBS RIGHT GUARD TO GB 40 FOR 5 YARDS (52-R.GARY).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,45,OPP,0,,0,,0,842,0,0
2023100900,2023-10-09,1,0,19,LV,GB,2,5,60,0,0,(:19) 10-J.GAROPPOLO PASS INCOMPLETE SHORT LEFT TO 16-J.MEYERS (29-R.DOUGLAS).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,881,0,0
2023100900,2023-10-09,1,0,15,LV,GB,3,5,60,0,0,(:15) (SHOTGUN) 10-J.GAROPPOLO SACKED AT GB 47 FOR -7 YARDS (91-P.SMITH).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,885,0,0
2023100900,2023-10-09,2,15,0,LV,GB,4,12,53,0,0,"(15:00) 6-A.COLE PUNTS 37 YARDS TO GB 10, CENTER-50-J.BOBENMOYER, FAIR CATCH BY 11-J.REED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,900,0,0
2023100900,2023-10-09,1,0,0,LV,GB,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023100900,2023-10-09,2,14,53,GB,LV,1,10,10,1,0,(14:53) 10-J.LOVE PASS SHORT RIGHT TO 89-B.SIMS PUSHED OB AT GB 22 FOR 12 YARDS (5-D.DEABLO).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,907,0,0
2023100900,2023-10-09,2,14,13,GB,LV,1,10,22,0,0,(14:13) (SHOTGUN) 27-P.TAYLOR LEFT GUARD TO GB 19 FOR -3 YARDS (98-M.CROSBY).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,22,OWN,0,,0,,0,947,0,0
2023100900,2023-10-09,2,13,34,GB,LV,2,13,19,0,0,(13:34) (SHOTGUN) 10-J.LOVE PASS SHORT MIDDLE TO 27-P.TAYLOR TO GB 21 FOR 2 YARDS (5-D.DEABLO).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,986,0,0
2023100900,2023-10-09,2,12,49,GB,LV,3,11,21,0,0,(12:49) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT RIGHT TO 27-P.TAYLOR.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1031,0,0
2023100900,2023-10-09,2,12,45,GB,LV,4,11,21,0,0,"(12:45) 19-D.WHELAN PUNTS 41 YARDS TO LV 38, CENTER-42-M.ORZECH, DOWNED BY GB-34-J.OWENS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1035,0,0
2023100900,2023-10-09,2,12,37,LV,GB,1,10,38,0,0,"(12:37) 8-J.JACOBS UP THE MIDDLE TO LV 47 FOR 9 YARDS (20-R.FORD, 26-D.SAVAGE).",0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OWN,0,,0,,0,1043,0,0
2023100900,2023-10-09,2,12,37,LV,GB,0,0,100,1,0,TIMEOUT AT 12:37.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1043,0,0
2023100900,2023-10-09,2,12,3,LV,GB,2,1,47,1,0,(12:03) 10-J.GAROPPOLO UP THE MIDDLE TO 50 FOR 3 YARDS (7-Q.WALKER).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,47,OWN,0,,0,,0,1077,0,0
2023100900,2023-10-09,2,11,24,LV,GB,1,10,100,0,0,(11:24) 8-J.JACOBS SACKED AT LV 46 FOR -4 YARDS (55-K.ENAGBARE).,0,2023,-4,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1116,0,0
