GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NO,NE
2023100805,2023-10-08,1,8,2,NO,NE,3,9,61,0,0,(8:02) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT LEFT TO 80-J.GRAHAM.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,418,0,0
2023100805,2023-10-08,1,7,58,NO,NE,4,9,61,0,0,"(7:58) 39-L.HEDLEY PUNTS 39 YARDS TO END ZONE, CENTER-49-Z.WOOD, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,422,0,0
2023100805,2023-10-08,1,7,49,NE,NO,1,10,20,0,0,(7:49) 38-R.STEVENSON UP THE MIDDLE TO NE 24 FOR 4 YARDS (96-C.GRANDERSON; 93-N.SHEPHERD).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OWN,0,,0,,0,431,0,0
2023100805,2023-10-08,1,7,49,NE,NO,0,0,100,1,0,TIMEOUT AT 07:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,431,0,0
2023100805,2023-10-08,1,7,16,NE,NO,2,6,24,0,0,(7:16) 10-M.JONES PASS INCOMPLETE SHORT MIDDLE TO 38-R.STEVENSON.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,464,0,0
2023100805,2023-10-08,1,7,11,NE,NO,3,6,24,1,0,"(7:11) (SHOTGUN) 10-M.JONES PASS SHORT MIDDLE INTENDED FOR 38-R.STEVENSON INTERCEPTED BY 32-T.MATHIEU [96-C.GRANDERSON] AT NE 27. 32-T.MATHIEU FOR 27 YARDS, TOUCHDOWN.",0,2023,27,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,1,0,0,0,0,,24,OWN,0,,0,,0,469,0,0
2023100805,2023-10-08,1,7,2,NE,NO,0,0,15,1,0,"19-B.GRUPE EXTRA POINT IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,478,0,0
2023100805,2023-10-08,1,7,2,NE,NO,0,0,100,1,0,TIMEOUT AT 07:02.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,478,0,0
2023100805,2023-10-08,1,7,2,NE,NO,0,0,65,1,0,"19-B.GRUPE KICKS 67 YARDS FROM NO 35 TO NE -2. 14-T.MONTGOMERY TO NE 21 FOR 23 YARDS (42-T.SUMMERS, 52-D.JACKSON).",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,478,0,0
2023100805,2023-10-08,1,6,57,NE,NO,1,10,21,0,0,(6:57) (SHOTGUN) 10-M.JONES PASS SHORT RIGHT TO 15-E.ELLIOTT PUSHED OB AT NE 24 FOR 3 YARDS (1-A.TAYLOR).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,483,0,0
2023100805,2023-10-08,1,6,29,NE,NO,2,7,24,0,0,(6:29) 14-T.MONTGOMERY RIGHT END RAN OB AT NE 24 FOR NO GAIN (92-T.KPASSAGNON).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,24,OWN,0,,0,,0,511,0,0
2023100805,2023-10-08,1,5,47,NE,NO,3,7,24,0,0,"(5:47) (SHOTGUN) 10-M.JONES PASS DEEP LEFT TO 81-D.DOUGLAS TO NE 48 FOR 24 YARDS (23-M.LATTIMORE). PENALTY ON NO-23-M.LATTIMORE, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT NE 48. NEW ORLEANS CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,24,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,1,0,,0,0,1,0,0,,24,OWN,1,NO,0,UNNECESSARY ROUGHNESS,15,553,0,0
2023100805,2023-10-08,1,5,36,NE,NO,1,10,63,0,0,(5:36) (SHOTGUN) 15-E.ELLIOTT LEFT GUARD TO NO 34 FOR 3 YARDS (93-N.SHEPHERD).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,37,OPP,0,,0,,0,564,0,0
2023100805,2023-10-08,1,5,1,NE,NO,2,7,66,0,0,(5:01) (SHOTGUN) 15-E.ELLIOTT LEFT END TO NO 38 FOR -4 YARDS (96-C.GRANDERSON).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OPP,0,,0,,0,599,0,0
2023100805,2023-10-08,1,4,21,NE,NO,3,11,62,0,0,(4:21) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 88-M.GESICKI PUSHED OB AT NO 30 FOR 8 YARDS (24-J.ABRAM).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,639,0,0
2023100805,2023-10-08,1,3,45,NE,NO,4,3,70,0,0,"(3:45) 37-C.RYLAND 48 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-49-J.CARDONA, HOLDER-17-B.BARINGER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,675,0,0
2023100805,2023-10-08,1,3,39,NO,NE,1,10,38,0,0,"(3:39) 25-K.MILLER RIGHT GUARD TO NO 41 FOR 3 YARDS (92-D.GODCHAUX, 91-D.WISE).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,38,OWN,0,,0,,0,681,0,0
2023100805,2023-10-08,1,2,57,NO,NE,2,7,41,0,0,"(2:57) NO 7-HILL NOW AT QB. (SHOTGUN)  PENALTY ON NO-87-F.MOREAU, FALSE START, 5 YARDS, ENFORCED AT NO 41 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,41,OWN,1,NO,1,FALSE START,5,723,0,0
2023100805,2023-10-08,1,2,43,NO,NE,2,12,36,0,0,(2:43) NO 4-CARR NOW AT QB. 4-D.CARR PASS SHORT RIGHT TO 7-T.HILL TO NO 37 FOR 1 YARD (23-K.DUGGER).,0,2023,1,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,737,0,0
2023100805,2023-10-08,1,2,43,NO,NE,0,0,100,1,0,TIMEOUT #1 BY NE AT 02:43.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,737,0,0
2023100805,2023-10-08,1,2,3,NO,NE,3,11,37,1,0,(2:03) (SHOTGUN) 4-D.CARR PASS DEEP MIDDLE TO 13-M.THOMAS TO NE 37 FOR 26 YARDS (2-J.MILLS).,0,2023,26,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,777,0,0
2023100805,2023-10-08,1,1,29,NO,NE,1,10,63,0,0,(1:29) 41-A.KAMARA UP THE MIDDLE TO NE 33 FOR 4 YARDS (33-A.JENNINGS; 8-J.BENTLEY).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,37,OPP,0,,0,,0,811,0,0
