GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,PHI
2023100808,2023-10-08,1,2,1,PHI,LA,1,10,25,0,0,(2:01) 0-D.SWIFT RIGHT END TO PHI 23 FOR -2 YARDS (53-E.JONES).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,5,779,0,0
2023100808,2023-10-08,1,2,1,PHI,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,5,779,0,0
2023100808,2023-10-08,1,1,17,PHI,LA,2,12,23,0,0,(1:17) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 88-D.GOEDERT TO PHI 30 FOR 7 YARDS (53-E.JONES).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,5,823,0,0
2023100808,2023-10-08,1,0,33,PHI,LA,3,5,30,1,0,(:33) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 11-A.BROWN TO PHI 40 FOR 10 YARDS (56-C.ROZEBOOM; 14-C.DURANT).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,5,867,0,0
2023100808,2023-10-08,1,0,4,PHI,LA,1,10,40,0,0,"(:04) (NO HUDDLE, SHOTGUN) 14-K.GAINWELL UP THE MIDDLE TO PHI 41 FOR 1 YARD (92-J.WILLIAMS).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OWN,0,,0,,0,5,896,0,0
2023100808,2023-10-08,1,0,0,PHI,LA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,900,0,0
2023100808,2023-10-08,2,15,0,PHI,LA,2,9,41,0,0,(15:00) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT LEFT TO 6-D.SMITH.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,5,900,0,0
2023100808,2023-10-08,2,14,56,PHI,LA,3,9,41,1,0,"(14:56) (SHOTGUN) 1-J.HURTS SCRAMBLES RIGHT END TO 50 FOR 9 YARDS (4-J.FULLER, 14-C.DURANT).",0,2023,9,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,5,904,0,0
2023100808,2023-10-08,2,14,7,PHI,LA,1,10,100,0,0,(14:07) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE DEEP RIGHT TO 11-A.BROWN (4-J.FULLER).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,953,0,0
2023100808,2023-10-08,2,14,0,PHI,LA,2,10,100,0,0,(14:00) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT LEFT [0-B.YOUNG].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,960,0,0
2023100808,2023-10-08,2,13,53,PHI,LA,3,10,100,0,0,(13:53) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE DEEP RIGHT TO 16-Q.WATKINS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,967,0,0
2023100808,2023-10-08,2,13,48,PHI,LA,4,10,100,0,0,"(13:48) 10-B.MANN PUNTS 41 YARDS TO LAR 9, CENTER-45-R.LOVATO, FAIR CATCH BY 81-A.TRAMMELL.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,972,0,0
