GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SF,SEA
2023112302,2023-11-23,1,0,50,SF,SEA,1,10,81,0,0,(:50) 23-C.MCCAFFREY LEFT GUARD TO SEA 17 FOR 2 YARDS (90-JA.REED; 97-M.EDWARDS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,19,OPP,0,,0,,0,12,850,0,0
2023112302,2023-11-23,1,0,11,SF,SEA,2,8,83,0,0,"(:11) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 85-G.KITTLE TO SEA 16 FOR 1 YARD (56-J.BROOKS, 97-M.EDWARDS) [54-B.WAGNER].",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,12,889,0,0
2023112302,2023-11-23,2,15,0,SF,SEA,3,7,84,0,0,"(15:00) (SHOTGUN) 13-B.PURDY SACKED AT SEA 16 FOR 0 YARDS (54-B.WAGNER). PENALTY ON SEA-22-T.BROWN, ILLEGAL CONTACT, 5 YARDS, ENFORCED AT SEA 16 - NO PLAY.",0,2023,0,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,,16,OPP,1,SEA,1,ILLEGAL CONTACT,5,12,900,0,0
2023112302,2023-11-23,1,0,0,SF,SEA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,900,0,0
2023112302,2023-11-23,2,14,39,SF,SEA,1,10,89,0,0,(14:39) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 23-C.MCCAFFREY TO SEA 6 FOR 5 YARDS (56-J.BROOKS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,12,921,0,0
2023112302,2023-11-23,2,13,59,SF,SEA,2,5,94,1,0,(13:59) 23-C.MCCAFFREY LEFT GUARD TO SEA 1 FOR 5 YARDS (20-J.LOVE; 56-J.BROOKS).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,6,OPP,0,,0,,0,12,961,0,0
2023112302,2023-11-23,2,13,15,SF,SEA,1,1,99,1,0,"(13:15) 23-C.MCCAFFREY LEFT GUARD FOR 1 YARD, TOUCHDOWN.",0,2023,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT GUARD,1,OPP,0,,0,,0,12,1005,0,0
2023112302,2023-11-23,2,13,11,SEA,SF,1,10,25,1,0,(13:11) 1-D.ESKRIDGE RIGHT END PUSHED OB AT SEA 35 FOR 10 YARDS (2-D.LENOIR).,0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,12,1009,0,0
2023112302,2023-11-23,2,13,11,SEA,SF,0,0,65,1,0,"4-J.MOODY KICKS 65 YARDS FROM SF 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,12,1009,0,0
2023112302,2023-11-23,2,13,11,SEA,SF,0,0,100,1,0,TIMEOUT AT 13:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,1009,0,0
