GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,IND,TB
2023112603,2023-11-26,1,2,24,TB,IND,2,4,31,0,0,"(2:24) (SHOTGUN) 22-C.EDMONDS RIGHT TACKLE TO TB 34 FOR 3 YARDS (93-E.JOHNSON). PENALTY ON IND-95-A.ADEBAWORE, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT TB 31 - NO PLAY.",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT TACKLE,31,OWN,1,IND,1,DEFENSIVE OFFSIDE,5,756,0,0
2023112603,2023-11-26,1,1,56,TB,IND,1,10,36,0,0,(1:56) 6-B.MAYFIELD PASS SHORT LEFT INTENDED FOR 13-M.EVANS INTERCEPTED BY 48-R.HARRISON AT 50. 48-R.HARRISON RAN OB AT TB 41 FOR 9 YARDS (22-C.EDMONDS).,0,2023,9,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,1,0,0,0,0,,36,OWN,0,,0,,0,784,0,0
2023112603,2023-11-26,1,1,49,IND,TB,0,0,100,1,0,TIMEOUT AT 01:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,791,0,0
2023112603,2023-11-26,1,1,49,IND,TB,1,10,59,0,0,(1:49) 6-I.MCKENZIE LEFT END TO TB 38 FOR 3 YARDS (27-Z.MCCOLLUM).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OPP,0,,0,,0,791,0,0
2023112603,2023-11-26,1,1,11,IND,TB,2,7,62,1,0,"(1:11) (SHOTGUN) 10-G.MINSHEW PASS SHORT MIDDLE TO 11-M.PITTMAN TO TB 21 FOR 17 YARDS (31-A.WINFIELD, 24-C.DAVIS).",0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,829,0,0
2023112603,2023-11-26,1,0,44,IND,TB,1,10,79,1,0,"(:44) (NO HUDDLE, SHOTGUN) 28-J.TAYLOR UP THE MIDDLE TO TB 4 FOR 17 YARDS (31-A.WINFIELD).",0,2023,17,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,21,OPP,0,,0,,0,856,0,0
2023112603,2023-11-26,1,0,16,IND,TB,1,4,96,1,0,"(:16) (NO HUDDLE, SHOTGUN) 28-J.TAYLOR LEFT TACKLE FOR 4 YARDS, TOUCHDOWN.",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT TACKLE,4,OPP,0,,0,,0,884,0,0
2023112603,2023-11-26,1,0,11,TB,IND,0,0,65,1,0,"7-M.GAY KICKS 65 YARDS FROM IND 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,889,0,0
2023112603,2023-11-26,1,0,11,TB,IND,1,10,25,0,0,(:11) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO TB 23 FOR -2 YARDS (99-D.BUCKNER).,0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,889,0,0
2023112603,2023-11-26,1,0,11,IND,TB,0,0,100,1,0,TIMEOUT AT 00:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,889,0,0
2023112603,2023-11-26,1,0,11,IND,TB,0,0,85,1,0,"7-M.GAY EXTRA POINT IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,889,0,0
2023112603,2023-11-26,2,15,0,TB,IND,2,12,23,0,0,(15:00) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT TO 14-C.GODWIN (94-TY.LEWIS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,900,0,0
2023112603,2023-11-26,1,0,0,TB,IND,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023112603,2023-11-26,2,14,55,TB,IND,3,12,23,0,0,(14:55) (SHOTGUN) 6-B.MAYFIELD SACKED AT TB 14 FOR -9 YARDS (52-S.EBUKAM).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,905,0,0
2023112603,2023-11-26,2,14,5,TB,IND,4,21,14,0,0,"(14:05) 5-J.CAMARDA PUNTS 61 YARDS TO IND 25, CENTER-97-Z.TRINER. 6-I.MCKENZIE TO IND 38 FOR 13 YARDS (41-K.KIEFT).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,955,0,0
2023112603,2023-11-26,2,13,51,IND,TB,0,0,100,1,0,TIMEOUT AT 13:51.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,969,0,0
2023112603,2023-11-26,2,13,51,IND,TB,1,10,38,0,0,(13:51) (SHOTGUN) 10-G.MINSHEW PASS INCOMPLETE SHORT MIDDLE TO 83-K.GRANSON (90-L.HALL).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,969,0,0
2023112603,2023-11-26,2,13,48,IND,TB,2,10,38,0,0,(13:48) (SHOTGUN) 10-G.MINSHEW PASS INCOMPLETE SHORT LEFT TO 1-J.DOWNS (94-C.KANCEY).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,972,0,0
2023112603,2023-11-26,2,13,42,IND,TB,3,10,38,0,0,(13:42) (SHOTGUN) 10-G.MINSHEW PASS SHORT RIGHT TO 14-A.PIERCE TO IND 47 FOR 9 YARDS (24-C.DAVIS).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,978,0,0
2023112603,2023-11-26,2,12,51,IND,TB,0,0,100,1,0,TIMEOUT #1 BY IND AT 12:51.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1029,0,0
