GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,MIA
2024010713,2024-01-07,1,0,10,MIA,BUF,1,10,20,0,0,(:10) 28-D.ACHANE SACKED AT MIA 14 FOR -6 YARDS (25-T.DODSON).,0,2023,-6,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,18,890,0,0
2024010713,2024-01-07,1,0,0,MIA,BUF,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,900,0,0
2024010713,2024-01-07,2,15,0,MIA,BUF,2,16,14,0,0,(15:00) (SHOTGUN) 23-J.WILSON LEFT GUARD TO MIA 24 FOR 10 YARDS (21-J.POYER).,0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,14,OWN,0,,0,,0,18,900,0,0
2024010713,2024-01-07,2,14,23,MIA,BUF,3,6,24,1,0,(14:23) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 0-B.BERRIOS TO MIA 31 FOR 7 YARDS (43-T.BERNARD).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,18,937,0,0
2024010713,2024-01-07,2,13,41,MIA,BUF,1,10,31,0,0,(13:41) (SHOTGUN) 28-D.ACHANE LEFT END TO MIA 27 FOR -4 YARDS (50-G.ROUSSEAU).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,31,OWN,0,,0,,0,18,979,0,0
2024010713,2024-01-07,2,13,0,MIA,BUF,2,14,27,0,0,(13:00) 28-D.ACHANE RIGHT GUARD TO MIA 27 FOR NO GAIN (7-TA.JOHNSON; 43-T.BERNARD).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,27,OWN,0,,0,,0,18,1020,0,0
2024010713,2024-01-07,2,12,21,MIA,BUF,3,14,27,1,0,(12:21) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP LEFT TO 10-T.HILL TO 50 FOR 23 YARDS (20-T.RAPP; 43-T.BERNARD).,0,2023,23,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,18,1059,0,0
2024010713,2024-01-07,2,11,44,MIA,BUF,1,10,100,1,0,(11:44) 23-J.WILSON LEFT END TO BUF 37 FOR 13 YARDS (21-J.POYER; 43-T.BERNARD).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,0,OPP,0,,0,,0,18,1096,0,0
2024010713,2024-01-07,2,11,4,MIA,BUF,1,10,63,0,0,(11:04) 23-J.WILSON RIGHT END TO BUF 33 FOR 4 YARDS (21-J.POYER).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,37,OPP,0,,0,,0,18,1136,0,0
2024010713,2024-01-07,2,10,22,MIA,BUF,2,6,67,1,0,(10:22) 1-T.TAGOVAILOA SCRAMBLES LEFT END TO BUF 26 FOR 7 YARDS (7-TA.JOHNSON).,0,2023,7,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,18,1178,0,0
