GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,ATL
2024010700,2024-01-07,2,8,43,NO,ATL,0,0,100,1,0,TIMEOUT AT 08:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,1277,0,0
2024010700,2024-01-07,2,8,5,NO,ATL,1,10,33,0,0,(8:05) (SHOTGUN) 7-T.HILL SACKED AT NO 32 FOR -1 YARDS (93-C.CAMPBELL).,0,2023,-1,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,18,1315,0,0
2024010700,2024-01-07,2,7,25,NO,ATL,2,11,32,1,0,(7:25) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 12-C.OLAVE TO NO 48 FOR 16 YARDS (3-J.BATES).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,18,1355,0,0
2024010700,2024-01-07,2,6,48,NO,ATL,1,10,48,0,0,(6:48) 21-J.WILLIAMS RIGHT GUARD TO NO 46 FOR -2 YARDS (53-N.LANDMAN).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,48,OWN,0,,0,,0,18,1392,0,0
2024010700,2024-01-07,2,6,8,NO,ATL,2,12,46,0,0,"(6:08) (NO HUDDLE, SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 25-K.MILLER TO ATL 48 FOR 6 YARDS (59-A.SMITH).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,18,1432,0,0
2024010700,2024-01-07,2,5,21,NO,ATL,3,6,52,0,0,(5:21) (SHOTGUN) 25-K.MILLER RIGHT GUARD TO ATL 47 FOR 1 YARD (53-N.LANDMAN; 33-T.FLOWERS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,48,OPP,0,,0,,0,18,1479,0,0
2024010700,2024-01-07,2,5,21,NO,ATL,0,0,100,1,0,TIMEOUT #1 BY NO AT 05:21.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,1479,0,0
2024010700,2024-01-07,2,4,41,NO,ATL,4,5,53,0,0,"(4:41) 39-L.HEDLEY PUNTS 40 YARDS TO ATL 7, CENTER-49-Z.WOOD, FAIR CATCH BY 20-D.ALFORD.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,18,1519,0,0
2024010700,2024-01-07,2,4,35,ATL,NO,1,10,7,0,0,(4:35) 25-T.ALLGEIER RIGHT TACKLE TO ATL 8 FOR 1 YARD (20-P.WERNER).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,7,OWN,0,,0,,0,18,1525,0,0
2024010700,2024-01-07,2,4,35,NO,ATL,0,0,100,1,0,TIMEOUT AT 04:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,1525,0,0
2024010700,2024-01-07,2,3,57,ATL,NO,2,9,8,0,0,(3:57) (SHOTGUN) 9-D.RIDDER RIGHT END TO ATL 8 FOR NO GAIN (24-J.ABRAM).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,8,OWN,0,,0,,0,18,1563,0,0
2024010700,2024-01-07,2,3,14,ATL,NO,3,9,8,0,0,(3:14) (SHOTGUN) 7-B.ROBINSON LEFT END TO ATL 11 FOR 3 YARDS (32-T.MATHIEU; 24-J.ABRAM).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,8,OWN,0,,0,,0,18,1606,0,0
