GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,TB
2024010705,2024-01-07,2,11,3,TB,CAR,3,3,27,0,0,(11:03) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE DEEP RIGHT TO 13-M.EVANS [49-F.LUVU].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,1137,0,0
2024010705,2024-01-07,2,10,58,TB,CAR,4,3,27,0,0,"(10:58) 5-J.CAMARDA PUNTS 60 YARDS TO CAR 13, CENTER-97-Z.TRINER. 11-I.SMITH-MARSETTE TO CAR 21 FOR 8 YARDS (19-D.MOORE; 32-J.HAYES).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,1142,0,0
2024010705,2024-01-07,2,10,48,CAR,TB,1,10,21,0,0,(10:48) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT TO 19-A.THIELEN [9-J.TRYON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1152,0,0
2024010705,2024-01-07,2,10,48,CAR,TB,0,0,100,1,0,TIMEOUT AT 10:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1152,0,0
2024010705,2024-01-07,2,10,43,CAR,TB,2,10,21,0,0,(10:43) 30-C.HUBBARD LEFT TACKLE TO CAR 22 FOR 1 YARD (54-L.DAVID).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,21,OWN,0,,0,,0,1157,0,0
2024010705,2024-01-07,2,10,4,CAR,TB,3,9,22,0,0,(10:04) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 82-T.TREMBLE TO CAR 29 FOR 7 YARDS (24-C.DAVIS; 7-S.BARRETT).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,1196,0,0
2024010705,2024-01-07,2,9,21,CAR,TB,4,2,29,0,0,"(9:21) 10-J.HEKKER PUNTS 42 YARDS TO TB 29, CENTER-44-J.JANSEN, FAIR CATCH BY 83-D.THOMPKINS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,1239,0,0
2024010705,2024-01-07,2,9,13,TB,CAR,1,10,29,0,0,(9:13) 1-R.WHITE LEFT TACKLE TO TB 33 FOR 4 YARDS (99-S.TUTTLE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,29,OWN,0,,0,,0,1247,0,0
2024010705,2024-01-07,2,9,13,CAR,TB,0,0,100,1,0,TIMEOUT AT 09:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1247,0,0
2024010705,2024-01-07,2,8,29,TB,CAR,2,6,33,1,0,(8:29) 1-R.WHITE LEFT TACKLE TO TB 46 FOR 13 YARDS (25-X.WOODS).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,33,OWN,0,,0,,0,1291,0,0
2024010705,2024-01-07,2,7,48,TB,CAR,1,10,46,0,0,(7:48) 1-R.WHITE RIGHT TACKLE TO CAR 45 FOR 9 YARDS (93-L.RAY; 54-K.GRUGIER-HILL).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,46,OWN,0,,0,,0,1332,0,0
