GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,GB,CHI
2023091008,2023-09-10,1,0,32,CHI,GB,1,10,37,0,0,(:32) (SHOTGUN) 21-D.FOREMAN LEFT END TO CHI 30 FOR -7 YARDS (26-D.SAVAGE).,0,2023,-7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,37,OWN,0,,0,,0,1,868,0,0
2023091008,2023-09-10,1,0,0,CHI,GB,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,900,0,0
2023091008,2023-09-10,2,15,0,CHI,GB,2,17,30,0,0,"(15:00) (SHOTGUN) 1-J.FIELDS SCRAMBLES LEFT GUARD TO CHI 38 FOR 8 YARDS (26-D.SAVAGE). PENALTY ON GB-23-J.ALEXANDER, ILLEGAL CONTACT, 5 YARDS, ENFORCED AT CHI 38.",0,2023,8,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,30,OWN,1,GB,0,ILLEGAL CONTACT,5,1,900,0,0
2023091008,2023-09-10,2,14,33,CHI,GB,1,10,43,0,0,(14:33) (SHOTGUN) 21-D.FOREMAN LEFT TACKLE TO CHI 46 FOR 3 YARDS (47-J.HOLLINS; 26-D.SAVAGE).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,43,OWN,0,,0,,0,1,927,0,0
2023091008,2023-09-10,2,14,0,CHI,GB,2,7,46,0,0,"(14:00) (SHOTGUN) 21-D.FOREMAN RIGHT END TO CHI 46 FOR NO GAIN (25-K.NIXON, 20-R.FORD).",0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,46,OWN,0,,0,,0,1,960,0,0
2023091008,2023-09-10,2,13,21,CHI,GB,3,7,46,1,0,(13:21) (SHOTGUN) 1-J.FIELDS SCRAMBLES RIGHT END TO GB 44 FOR 10 YARDS (91-P.SMITH).,0,2023,10,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,1,999,0,0
2023091008,2023-09-10,2,12,34,CHI,GB,1,10,56,1,0,(12:34) 21-D.FOREMAN LEFT TACKLE TO GB 33 FOR 11 YARDS (29-R.DOUGLAS; 7-Q.WALKER).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,44,OPP,0,,0,,0,1,1046,0,0
2023091008,2023-09-10,2,11,55,CHI,GB,1,10,67,1,0,(11:55) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 2-D.MOORE TO GB 22 FOR 11 YARDS (59-D.CAMPBELL).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,1,1085,0,0
2023091008,2023-09-10,2,11,18,CHI,GB,1,10,78,1,0,(11:18) (SHOTGUN) 1-J.FIELDS PASS SHORT MIDDLE TO 2-D.MOORE TO GB 8 FOR 14 YARDS (26-D.SAVAGE; 25-K.NIXON) [97-K.CLARK].,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,1,1122,0,0
2023091008,2023-09-10,2,10,30,CHI,GB,1,8,92,0,0,(10:30) 1-J.FIELDS PASS SHORT RIGHT TO 85-C.KMET TO GB 4 FOR 4 YARDS (23-J.ALEXANDER).,0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,1,1170,0,0
