GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DAL,NYG
2023091013,2023-09-10,1,2,22,NYG,DAL,1,10,25,0,0,(2:22) (SHOTGUN) 26-S.BARKLEY LEFT TACKLE TO NYG 30 FOR 5 YARDS (1-J.KEARSE; 33-D.CLARK).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,25,OWN,0,,0,,0,1,758,0,0
2023091013,2023-09-10,1,2,22,NYG,DAL,0,0,65,1,0,"17-B.AUBREY KICKS 65 YARDS FROM DAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,758,0,0
2023091013,2023-09-10,1,1,44,NYG,DAL,2,5,30,0,0,(1:44) (SHOTGUN) 26-S.BARKLEY LEFT GUARD TO NYG 33 FOR 3 YARDS (14-M.BELL).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,30,OWN,0,,0,,0,1,796,0,0
2023091013,2023-09-10,1,1,10,NYG,DAL,3,2,33,0,0,(1:10) (SHOTGUN) 8-D.JONES RIGHT END TO NYG 28 FOR -5 YARDS (14-M.BELL).,0,2023,-5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,33,OWN,0,,0,,0,1,830,0,0
2023091013,2023-09-10,1,0,32,NYG,DAL,4,7,28,0,0,"(:32) 6-J.GILLAN PUNTS 62 YARDS TO DAL 10, CENTER-59-C.KREITER. 9-K.TURPIN TO DAL 20 FOR 10 YARDS (41-M.MCFADDEN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,1,868,0,0
2023091013,2023-09-10,1,0,21,NYG,DAL,0,0,100,1,0,TIMEOUT AT 00:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,879,0,0
2023091013,2023-09-10,1,0,21,DAL,NYG,1,10,20,0,0,"(:21) 20-T.POLLARD LEFT TACKLE TO DAL 18 FOR -2 YARDS (95-J.RILEY, 5-K.THIBODEAUX).",0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,20,OWN,0,,0,,0,1,879,0,0
2023091013,2023-09-10,1,0,0,DAL,NYG,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,900,0,0
2023091013,2023-09-10,2,15,0,DAL,NYG,2,12,18,0,0,(15:00) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT LEFT TO 3-B.COOKS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,1,900,0,0
2023091013,2023-09-10,2,14,57,DAL,NYG,3,12,18,0,0,"(14:57) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE DEEP RIGHT TO 3-B.COOKS [99-L.WILLIAMS]. PENALTY ON NYG-37-T.HAWKINS, DEFENSIVE PASS INTERFERENCE, 37 YARDS, ENFORCED AT DAL 18 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,18,OWN,1,NYG,1,DEFENSIVE PASS INTERFERENCE,37,1,903,0,0
2023091013,2023-09-10,2,14,50,DAL,NYG,1,10,55,0,0,(14:50) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 87-J.FERGUSON (29-X.MCKINNEY) [55-J.WARD].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,1,910,0,0
2023091013,2023-09-10,2,14,44,DAL,NYG,2,10,55,0,0,(14:44) (SHOTGUN) 20-T.POLLARD RIGHT TACKLE TO NYG 43 FOR 2 YARDS (93-R.NUNEZ-ROCHES).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,45,OPP,0,,0,,0,1,916,0,0
