GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIA,TEN
2023121100,2023-12-11,3,2,1,TEN,MIA,2,8,62,0,0,(2:01) 22-D.HENRY UP THE MIDDLE TO MIA 36 FOR 2 YARDS (91-E.OGBAH).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OPP,0,,0,,0,14,2579,0,0
2023121100,2023-12-11,3,1,16,TEN,MIA,3,6,64,1,0,"(1:16) (SHOTGUN) 8-W.LEVIS PASS DEEP RIGHT TO 32-T.SPEARS TO MIA 6 FOR 30 YARDS (29-B.JONES). FUMBLES (29-B.JONES), BALL OUT OF BOUNDS AT MIA 5. MIAMI CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,30,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,1,0,,0,1,0,0,0,,36,OPP,0,,0,,0,14,2624,0,0
2023121100,2023-12-11,3,0,56,TEN,MIA,1,6,94,0,0,(:56) 22-D.HENRY UP THE MIDDLE TO MIA 5 FOR 1 YARD (43-A.VAN GINKEL).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,6,OPP,0,,0,,0,14,2644,0,0
2023121100,2023-12-11,3,0,20,TEN,MIA,2,5,95,0,0,(:20) (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE SHORT RIGHT [94-C.WILKINS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,14,2680,0,0
2023121100,2023-12-11,3,0,15,TEN,MIA,3,5,95,1,0,"(:15) (SHOTGUN) 8-W.LEVIS PASS SHORT MIDDLE TO 15-N.WESTBROOK-IKHINE FOR 5 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE PASS COMPLETION RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE SHORT MIDDLE TO 15-N.WESTBROOK-IKHINE (29-B.JONES).",0,2023,5,SHOTGUN,PASS,0,1,1,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,14,2685,0,0
2023121100,2023-12-11,3,0,12,TEN,MIA,4,5,95,0,0,"(:12) 6-N.FOLK 23 YARD FIELD GOAL IS GOOD, CENTER-46-M.COX, HOLDER-13-T.ZENTNER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,14,2688,0,0
2023121100,2023-12-11,3,0,9,MIA,TEN,0,0,65,1,0,6-N.FOLK KICKS 65 YARDS FROM TEN 35 TO MIA 0. 0-B.BERRIOS TO MIA 28 FOR 28 YARDS (23-T.AVERY; 47-J.DOMANN).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,14,2691,0,0
2023121100,2023-12-11,3,0,5,MIA,TEN,1,10,28,1,0,(:05) 1-T.TAGOVAILOA PASS DEEP RIGHT TO 10-T.HILL RAN OB AT TEN 49 FOR 23 YARDS.,0,2023,23,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,14,2695,0,0
2023121100,2023-12-11,4,15,0,MIA,TEN,1,5,56,1,0,(15:00) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 30-A.INGOLD TO TEN 31 FOR 13 YARDS (21-R.MCCREARY).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,14,2700,0,0
2023121100,2023-12-11,4,15,0,MIA,TEN,1,10,51,0,0,"(15:00) (SHOTGUN) PENALTY ON TEN-96-D.AUTRY, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT TEN 49 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,49,OPP,1,TEN,1,NEUTRAL ZONE INFRACTION,5,14,2700,0,0
2023121100,2023-12-11,3,0,0,MIA,TEN,0,0,100,1,0,END QUARTER 3,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,2700,0,0
2023121100,2023-12-11,4,14,14,MIA,TEN,1,10,69,1,0,(14:14) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP RIGHT TO 10-T.HILL RAN OB AT TEN 6 FOR 25 YARDS. TEN-0-S.MURPHY-BUNTING WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.,0,2023,25,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,14,2746,0,0
2023121100,2023-12-11,4,14,3,MIA,TEN,0,0,100,1,0,TIMEOUT AT 14:03.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,2757,0,0
2023121100,2023-12-11,4,13,58,MIA,TEN,1,6,94,0,0,(13:58) (SHOTGUN) 1-T.TAGOVAILOA SCRAMBLES UP THE MIDDLE TO TEN 3 FOR 3 YARDS (93-T.TART).,0,2023,3,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,14,2762,0,0
2023121100,2023-12-11,4,13,30,MIA,TEN,2,3,97,0,0,"(13:30) (NO HUDDLE, SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 10-T.HILL.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,14,2790,0,0
