GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TB,TEN
2023111206,2023-11-12,2,13,24,TEN,TB,3,12,57,0,0,(13:24) (SHOTGUN) 8-W.LEVIS PASS SHORT RIGHT TO 11-C.MOORE TO TB 33 FOR 10 YARDS (27-Z.MCCOLLUM).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,996,0,0
2023111206,2023-11-12,2,12,44,TEN,TB,4,2,67,0,0,"(12:44) 6-N.FOLK 51 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-46-M.COX, HOLDER-4-R.STONEHOUSE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,1036,0,0
2023111206,2023-11-12,2,12,39,TB,TEN,0,0,100,1,0,TIMEOUT AT 12:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1041,0,0
2023111206,2023-11-12,2,12,39,TB,TEN,1,10,41,0,0,"(12:39) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 22-C.EDMONDS TO TB 39 FOR -2 YARDS (33-E.GARROR, 56-M.RICE).",0,2023,-2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,1041,0,0
2023111206,2023-11-12,2,12,2,TB,TEN,2,12,39,0,0,(12:02) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 14-C.GODWIN TO TB 45 FOR 6 YARDS (33-E.GARROR).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,1078,0,0
2023111206,2023-11-12,2,11,26,TB,TEN,3,6,45,0,0,(11:26) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE DEEP LEFT TO 10-T.PALMER.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,1114,0,0
2023111206,2023-11-12,2,11,22,TB,TEN,4,6,45,0,0,"(11:22) 5-J.CAMARDA PUNTS 37 YARDS TO TEN 18, CENTER-97-Z.TRINER. 33-E.GARROR TO TEN 24 FOR 6 YARDS (22-C.EDMONDS; 97-Z.TRINER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,1118,0,0
2023111206,2023-11-12,2,11,12,TB,TEN,0,0,100,1,0,TIMEOUT AT 11:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1128,0,0
2023111206,2023-11-12,2,11,12,TEN,TB,1,10,24,0,0,"(11:12) (SHOTGUN) 22-D.HENRY UP THE MIDDLE TO TEN 32 FOR 8 YARDS (45-D.WHITE, 31-A.WINFIELD).",0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OWN,0,,0,,0,1128,0,0
2023111206,2023-11-12,2,10,28,TEN,TB,2,2,32,0,0,"(10:28) (SHOTGUN) PENALTY ON TEN-75-D.RADUNZ, FALSE START, 5 YARDS, ENFORCED AT TEN 32 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,32,OWN,1,TEN,1,FALSE START,5,1172,0,0
2023111206,2023-11-12,2,10,1,TEN,TB,2,7,27,0,0,"(10:01) (SHOTGUN) PENALTY ON TEN-75-D.RADUNZ, FALSE START, 5 YARDS, ENFORCED AT TEN 27 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,27,OWN,1,TEN,1,FALSE START,5,1199,0,0
2023111206,2023-11-12,2,9,39,TEN,TB,2,12,22,0,0,(9:39) (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE SHORT MIDDLE TO 32-T.SPEARS (45-D.WHITE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,1221,0,0
2023111206,2023-11-12,2,9,35,TEN,TB,3,12,22,0,0,(9:35) (SHOTGUN) 8-W.LEVIS PASS SHORT RIGHT TO 85-C.OKONKWO TO TEN 30 FOR 8 YARDS (98-A.NELSON; 27-Z.MCCOLLUM).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,1225,0,0
2023111206,2023-11-12,2,8,56,TEN,TB,4,4,30,0,0,"(8:56) 4-R.STONEHOUSE PUNTS 55 YARDS TO TB 15, CENTER-46-M.COX. 83-D.THOMPKINS RAN OB AT TB 15 FOR NO GAIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,1264,0,0
2023111206,2023-11-12,2,8,48,TB,TEN,0,0,100,1,0,TIMEOUT AT 08:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1272,0,0
2023111206,2023-11-12,2,8,48,TB,TEN,1,10,15,0,0,"(8:48) (SHOTGUN) 1-R.WHITE LEFT TACKLE TO TB 17 FOR 2 YARDS (33-E.GARROR, 2-A.AL-SHAAIR).",0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,15,OWN,0,,0,,0,1272,0,0
2023111206,2023-11-12,2,8,25,TB,TEN,2,8,17,1,0,"(8:25) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 13-M.EVANS TO TB 32 FOR 15 YARDS (24-E.MOLDEN).",0,2023,15,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,1295,0,0
2023111206,2023-11-12,2,7,46,TB,TEN,1,10,32,0,0,"(7:46) (SHOTGUN) 1-R.WHITE RIGHT TACKLE TO TB 37 FOR 5 YARDS (21-R.MCCREARY, 93-T.TART).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,32,OWN,0,,0,,0,1334,0,0
