GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DET,NO
2023120301,2023-12-03,1,1,42,DET,NO,1,10,33,0,0,(1:42) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE SHORT RIGHT TO 14-A.ST. BROWN (96-C.GRANDERSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,798,0,0
2023120301,2023-12-03,1,1,40,DET,NO,2,10,33,0,0,(1:40) (SHOTGUN) 5-D.MONTGOMERY LEFT GUARD TO DET 36 FOR 3 YARDS (93-N.SHEPHERD; 45-N.SEWELL).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,33,OWN,0,,0,,0,800,0,0
2023120301,2023-12-03,1,1,1,DET,NO,3,7,36,0,0,(1:01) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE SHORT LEFT TO 8-J.REYNOLDS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,839,0,0
2023120301,2023-12-03,1,0,56,DET,NO,4,7,36,0,0,"(:56) 3-J.FOX PUNTS 38 YARDS TO NO 26, CENTER-43-J.MCQUAIDE. 5-L.BOWDEN TO NO 26 FOR NO GAIN (42-J.REEVES-MAYBIN). PENALTY ON NO-27-I.YIADOM, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NO 26.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,36,OWN,1,NO,0,OFFENSIVE HOLDING,10,844,0,0
2023120301,2023-12-03,1,0,47,NO,DET,1,10,16,0,0,(:47) 41-A.KAMARA LEFT END TO NO 23 FOR 7 YARDS (55-D.BARNES; 94-B.JONES).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,16,OWN,0,,0,,0,853,0,0
2023120301,2023-12-03,1,0,4,NO,DET,2,3,23,1,0,(:04) (SHOTGUN) 41-A.KAMARA LEFT GUARD TO NO 27 FOR 4 YARDS (90-Q.BOHANNA).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,23,OWN,0,,0,,0,896,0,0
2023120301,2023-12-03,1,0,0,NO,DET,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023120301,2023-12-03,2,15,0,NO,DET,1,10,27,0,0,(15:00) 21-J.WILLIAMS LEFT TACKLE TO NO 31 FOR 4 YARDS (44-M.RODRIGUEZ).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,27,OWN,0,,0,,0,900,0,0
2023120301,2023-12-03,2,14,26,NO,DET,2,6,31,0,0,(14:26) 41-A.KAMARA LEFT END PUSHED OB AT NO 33 FOR 2 YARDS (21-T.WALKER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,31,OWN,0,,0,,0,934,0,0
2023120301,2023-12-03,2,13,46,NO,DET,3,4,33,1,0,(13:46) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 41-A.KAMARA TO NO 42 FOR 9 YARDS (23-J.JACOBS; 32-B.BRANCH).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,974,0,0
