GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,GB
2023120310,2023-12-03,2,10,39,KC,GB,0,0,65,1,0,"17-A.CARLSON KICKS 65 YARDS FROM GB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1161,0,0
2023120310,2023-12-03,2,10,3,KC,GB,2,9,26,0,0,(10:03) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 10-I.PACHECO TO KC 31 FOR 5 YARDS (34-J.OWENS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1197,0,0
2023120310,2023-12-03,2,9,26,KC,GB,3,4,31,1,0,"(9:26) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 24-S.MOORE TO KC 36 FOR 5 YARDS (25-K.NIXON, 7-Q.WALKER).",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,1234,0,0
2023120310,2023-12-03,2,8,46,KC,GB,1,10,36,0,0,(8:46) 10-I.PACHECO RIGHT END TO KC 38 FOR 2 YARDS (93-T.SLATON; 7-Q.WALKER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,36,OWN,0,,0,,0,1274,0,0
2023120310,2023-12-03,2,8,7,KC,GB,2,8,38,1,0,(8:07) 15-P.MAHOMES PASS SHORT MIDDLE TO 87-T.KELCE TO GB 39 FOR 23 YARDS (26-D.SAVAGE).,0,2023,23,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,1313,0,0
2023120310,2023-12-03,2,7,24,KC,GB,1,10,61,0,0,(7:24) (SHOTGUN) 15-P.MAHOMES SCRAMBLES LEFT END PUSHED OB AT GB 31 FOR 8 YARDS (35-C.BALLENTINE).,0,2023,8,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,1356,0,0
2023120310,2023-12-03,2,6,51,KC,GB,2,2,69,0,0,(6:51) 25-C.EDWARDS-HELAIRE RIGHT END TO GB 30 FOR 1 YARD (59-D.CAMPBELL; 52-R.GARY).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,31,OPP,0,,0,,0,1389,0,0
2023120310,2023-12-03,2,6,15,KC,GB,3,1,70,1,0,(6:15) 10-I.PACHECO LEFT TACKLE TO GB 22 FOR 8 YARDS (91-P.SMITH).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,30,OPP,0,,0,,0,1425,0,0
2023120310,2023-12-03,2,5,35,KC,GB,1,10,78,0,0,(5:35) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE SHORT LEFT TO 4-R.RICE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,1465,0,0
2023120310,2023-12-03,2,5,32,KC,GB,2,10,78,1,0,(5:32) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 87-T.KELCE PUSHED OB AT GB 12 FOR 10 YARDS (59-D.CAMPBELL; 35-C.BALLENTINE).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,1468,0,0
