GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DEN,HOU
2023120307,2023-12-03,4,8,57,HOU,DEN,2,10,27,0,0,"(8:57) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 8-J.METCHIE TO HOU 36 FOR 9 YARDS (2-P.SURTAIN, 49-A.SINGLETON).",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,13,3063,0,0
2023120307,2023-12-03,4,8,11,HOU,DEN,3,1,36,1,0,(8:11) 7-C.STROUD LEFT GUARD TO HOU 38 FOR 2 YARDS (91-M.HENNINGSEN). HOU-7-C.STROUD WAS INJURED DURING THE PLAY.,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,36,OWN,0,,0,,0,13,3109,0,0
2023120307,2023-12-03,4,8,11,HOU,DEN,0,0,100,1,0,TIMEOUT #2 BY HOU AT 08:11.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,3109,0,0
2023120307,2023-12-03,4,7,45,HOU,DEN,1,10,38,0,0,(7:45) 10-MILLS AT QB 31-D.PIERCE RIGHT GUARD TO HOU 41 FOR 3 YARDS (6-P.LOCKE).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,38,OWN,0,,0,,0,13,3135,0,0
2023120307,2023-12-03,4,7,5,HOU,DEN,2,7,41,1,0,(7:05) (SHOTGUN) 10-D.MILLS PASS SHORT RIGHT TO 12-N.COLLINS PUSHED OB AT DEN 41 FOR 18 YARDS (56-B.BROWNING).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,13,3175,0,0
2023120307,2023-12-03,4,6,33,HOU,DEN,1,10,59,0,0,(6:33) 7-STROUD AT QB 31-D.PIERCE LEFT GUARD TO DEN 45 FOR -4 YARDS (6-P.LOCKE).,0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,41,OPP,0,,0,,0,13,3207,0,0
2023120307,2023-12-03,4,5,54,HOU,DEN,2,14,55,0,0,(5:54) 7-C.STROUD SACKED AT HOU 46 FOR -9 YARDS (6-P.LOCKE).,0,2023,-9,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,13,3246,0,0
2023120307,2023-12-03,4,5,11,HOU,DEN,3,23,46,0,0,(5:11) (SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 33-D.OGUNBOWALE PUSHED OB AT DEN 40 FOR 14 YARDS (2-P.SURTAIN).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,13,3289,0,0
2023120307,2023-12-03,4,4,42,HOU,DEN,4,9,60,0,0,"(4:42) 11-C.JOHNSTON PUNTS 40 YARDS TO END ZONE, CENTER-46-J.WEEKS, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,13,3318,0,0
2023120307,2023-12-03,4,4,36,DEN,HOU,1,10,20,1,0,(4:36) (SHOTGUN) 3-R.WILSON PASS DEEP MIDDLE TO 14-C.SUTTON TO HOU 48 FOR 32 YARDS (1-J.WARD).,0,2023,32,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,13,3324,0,0
2023120307,2023-12-03,4,3,55,DEN,HOU,1,10,52,0,0,(3:55) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 19-M.MIMS PUSHED OB AT HOU 43 FOR 5 YARDS (21-S.NELSON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,13,3365,0,0
2023120307,2023-12-03,4,3,48,DEN,HOU,2,5,57,0,0,(3:48) (SHOTGUN) 33-J.WILLIAMS LEFT TACKLE TO HOU 42 FOR 1 YARD (52-J.GREENARD).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,43,OPP,0,,0,,0,13,3372,0,0
2023120307,2023-12-03,4,3,5,DEN,HOU,3,4,58,0,0,"(3:05) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT LEFT TO 25-S.PERINE [96-M.COLLINS]. PENALTY ON HOU-48-C.HARRIS, DEFENSIVE PASS INTERFERENCE, 11 YARDS, ENFORCED AT HOU 42 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,42,OPP,1,HOU,1,DEFENSIVE PASS INTERFERENCE,11,13,3415,0,0
2023120307,2023-12-03,4,2,59,DEN,HOU,1,10,69,0,0,"(2:59) 75-Q.BAILEY REPORTED IN AS ELIGIBLE.  33-J.WILLIAMS LEFT TACKLE TO HOU 30 FOR 1 YARD (35-J.HANSEN, 48-C.HARRIS).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,31,OPP,0,,0,,0,13,3421,0,0
2023120307,2023-12-03,4,2,17,DEN,HOU,2,9,70,0,0,(2:17) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 38-J.MCLAUGHLIN PUSHED OB AT HOU 29 FOR 1 YARD (5-J.PITRE).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,13,3463,0,0
2023120307,2023-12-03,4,2,11,DEN,HOU,3,8,71,0,0,"(2:11) (SHOTGUN) 3-R.WILSON SCRAMBLES LEFT END TO HOU 22 FOR 7 YARDS (48-C.HARRIS, 98-S.RANKINS).",0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,13,3469,0,0
2023120307,2023-12-03,4,2,0,DEN,HOU,4,1,78,1,0,(2:00) 33-J.WILLIAMS RIGHT TACKLE TO HOU 21 FOR 1 YARD (25-D.KING).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,22,OPP,0,,0,,0,13,3480,0,0
2023120307,2023-12-03,4,2,0,DEN,HOU,0,0,100,1,0,TIMEOUT #1 BY DEN AT 02:00.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,3480,0,0
2023120307,2023-12-03,4,2,0,DEN,HOU,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,3480,0,0
2023120307,2023-12-03,4,1,19,DEN,HOU,1,10,79,0,0,"(1:19) 3-R.WILSON PASS SHORT MIDDLE TO 33-J.WILLIAMS TO HOU 17 FOR 4 YARDS (35-J.HANSEN, 53-B.CASHMAN).",0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,13,3521,0,0
2023120307,2023-12-03,4,0,39,DEN,HOU,2,6,83,0,0,"(:39) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 10-J.JEUDY RAN OB AT HOU 13 FOR 4 YARDS (25-D.KING).",0,2023,4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,13,3561,0,0
2023120307,2023-12-03,4,0,35,DEN,HOU,3,2,87,0,0,(:35) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,13,3565,0,0
2023120307,2023-12-03,4,0,30,DEN,HOU,0,0,100,1,0,TIMEOUT #2 BY DEN AT 00:30.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,3570,0,0
2023120307,2023-12-03,4,0,30,DEN,HOU,0,0,100,1,0,TIMEOUT #3 BY HOU AT 00:30.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,3570,0,0
2023120307,2023-12-03,4,0,30,DEN,HOU,4,2,87,1,0,(:30) (SHOTGUN) 3-R.WILSON SCRAMBLES UP THE MIDDLE TO HOU 8 FOR 5 YARDS (96-M.COLLINS).,0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,13,3570,0,0
2023120307,2023-12-03,4,0,23,DEN,HOU,0,0,100,1,0,TIMEOUT #3 BY DEN AT 00:23.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,3577,0,0
2023120307,2023-12-03,4,0,23,DEN,HOU,1,8,92,0,0,(:23) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT MIDDLE TO 82-A.TRAUTMAN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,13,3577,0,0
2023120307,2023-12-03,4,0,20,DEN,HOU,2,8,92,0,0,(:20) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT MIDDLE TO 14-C.SUTTON [96-M.COLLINS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,13,3580,0,0
2023120307,2023-12-03,4,0,16,DEN,HOU,3,8,92,0,0,(:16) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT INTENDED FOR 85-L.KRULL INTERCEPTED BY 1-J.WARD AT HOU -6. TOUCHBACK.,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,1,0,0,0,0,,8,OPP,0,,0,,0,13,3584,0,0
2023120307,2023-12-03,4,0,9,HOU,DEN,1,10,20,0,0,(:09) 7-C.STROUD KNEELS TO HOU 19 FOR -1 YARDS.,0,2023,0,UNDER CENTER,QB KNEEL,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,13,3591,0,0
2023120307,2023-12-03,4,0,0,HOU,DEN,0,0,100,1,0,END GAME,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,3600,0,0
