GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,TB,CAR
2023120304,2023-12-03,1,2,51,CAR,TB,2,4,43,1,0,(2:51) 30-C.HUBBARD RIGHT GUARD TO CAR 49 FOR 6 YARDS (98-A.NELSON).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,43,OWN,0,,0,,0,13,729,0,0
2023120304,2023-12-03,1,2,12,CAR,TB,1,10,49,1,0,(2:12) 9-B.YOUNG PASS SHORT LEFT TO 19-A.THIELEN TO TB 39 FOR 12 YARDS (23-R.NEAL).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,13,768,0,0
2023120304,2023-12-03,1,1,30,CAR,TB,1,10,61,1,0,(1:30) (SHOTGUN) 30-C.HUBBARD LEFT TACKLE TO TB 22 FOR 17 YARDS (31-A.WINFIELD).,0,2023,17,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,39,OPP,0,,0,,0,13,810,0,0
2023120304,2023-12-03,1,0,50,CAR,TB,1,10,78,0,0,"(:50) 30-C.HUBBARD UP THE MIDDLE TO TB 24 FOR -2 YARDS (98-A.NELSON, 27-Z.MCCOLLUM).",0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,22,OPP,0,,0,,0,13,850,0,0
2023120304,2023-12-03,1,0,10,CAR,TB,2,12,76,0,0,"(:10) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 15-J.MINGO TO TB 21 FOR 3 YARDS (24-C.DAVIS). PENALTY ON TB-24-C.DAVIS, UNNECESSARY ROUGHNESS, 10 YARDS, ENFORCED AT TB 21.",0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,24,OPP,1,TB,0,UNNECESSARY ROUGHNESS,10,13,890,0,0
2023120304,2023-12-03,1,0,0,CAR,TB,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,900,0,0
2023120304,2023-12-03,2,15,0,CAR,TB,1,10,89,0,0,(15:00) (SHOTGUN) 30-C.HUBBARD RIGHT END PUSHED OB AT TB 2 FOR 9 YARDS (24-C.DAVIS).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,11,OPP,0,,0,,0,13,900,0,0
2023120304,2023-12-03,2,14,17,CAR,TB,2,1,98,0,0,(14:17) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT RIGHT TO 15-J.MINGO.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,13,943,0,0
2023120304,2023-12-03,2,14,14,CAR,TB,3,1,98,0,0,(14:14) (SHOTGUN) 30-C.HUBBARD RIGHT END TO TB 5 FOR -3 YARDS (23-R.NEAL).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,2,OPP,0,,0,,0,13,946,0,0
2023120304,2023-12-03,2,13,33,CAR,TB,4,4,95,0,0,"(13:33) 4-E.PINEIRO 23 YARD FIELD GOAL IS GOOD, CENTER-44-J.JANSEN, HOLDER-10-J.HEKKER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,13,987,0,0
2023120304,2023-12-03,2,13,30,TB,CAR,1,10,25,0,0,(13:30) 22-C.EDMONDS RIGHT GUARD TO TB 29 FOR 4 YARDS (49-F.LUVU).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,13,990,0,0
2023120304,2023-12-03,2,13,30,TB,CAR,0,0,100,1,0,TIMEOUT AT 13:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,990,0,0
2023120304,2023-12-03,2,13,30,TB,CAR,0,0,65,1,0,"4-E.PINEIRO KICKS 65 YARDS FROM CAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,13,990,0,0
2023120304,2023-12-03,2,12,56,TB,CAR,2,6,29,0,0,(12:56) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT LEFT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,13,1024,0,0
