GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIN,DET
2023122405,2023-12-24,1,2,2,MIN,DET,0,0,100,1,0,TIMEOUT AT 02:02.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,778,0,0
2023122405,2023-12-24,1,2,2,MIN,DET,1,10,52,0,0,(2:02) 32-T.CHANDLER LEFT END TO DET 42 FOR 6 YARDS (46-J.CAMPBELL; 31-K.JOSEPH).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,48,OPP,0,,0,,0,778,0,0
2023122405,2023-12-24,1,1,24,MIN,DET,2,4,58,0,0,"(1:24) (NO HUDDLE) 12-N.MULLENS SACKED AT MIN 46 FOR -12 YARDS (6-I.MELIFONWU). FUMBLES (6-I.MELIFONWU) [6-I.MELIFONWU], RECOVERED BY DET-79-J.COMINSKY AT MIN 46. THE REPLAY OFFICIAL REVIEWED THE RUNNER WAS NOT DOWN BY CONTACT RULING, AND THE PLAY WAS REVERSED. (NO HUDDLE) 12-N.MULLENS SACKED AT MIN 47 FOR -11 YARDS (6-I.MELIFONWU).",0,2023,-12,NO HUDDLE,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,42,OPP,0,,0,,0,816,0,0
2023122405,2023-12-24,1,1,4,MIN,DET,3,15,47,0,0,(1:04) (SHOTGUN) 12-N.MULLENS PASS SHORT RIGHT TO 87-T.HOCKENSON TO DET 40 FOR 13 YARDS (32-B.BRANCH) [97-A.HUTCHINSON].,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,836,0,0
2023122405,2023-12-24,1,0,22,MIN,DET,4,2,60,0,0,(:22) (SHOTGUN) 12-N.MULLENS PASS DEEP RIGHT INTENDED FOR 3-J.ADDISON INTERCEPTED BY 32-B.BRANCH AT DET 20. 32-B.BRANCH TO DET 20 FOR NO GAIN (3-J.ADDISON).,0,2023,0,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,1,0,0,0,0,,40,OPP,0,,0,,0,878,0,0
2023122405,2023-12-24,1,0,16,DET,MIN,1,10,20,0,0,(:16) 16-J.GOFF PASS SHORT RIGHT TO 14-A.ST. BROWN PUSHED OB AT DET 23 FOR 3 YARDS (44-J.METELLUS).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,884,0,0
2023122405,2023-12-24,2,15,0,DET,MIN,2,7,23,0,0,(15:00) 5-D.MONTGOMERY LEFT END TO DET 26 FOR 3 YARDS (97-H.PHILLIPS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,23,OWN,0,,0,,0,900,0,0
2023122405,2023-12-24,1,0,0,DET,MIN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023122405,2023-12-24,2,14,19,DET,MIN,3,4,26,0,0,(14:19) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE SHORT RIGHT TO 26-J.GIBBS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,941,0,0
2023122405,2023-12-24,2,14,12,DET,MIN,4,4,26,0,0,"(14:12) 3-J.FOX PUNTS 44 YARDS TO MIN 30, CENTER-43-J.MCQUAIDE, FAIR CATCH BY 4-B.POWELL.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,948,0,0
2023122405,2023-12-24,2,14,5,MIN,DET,0,0,100,1,0,TIMEOUT AT 14:05.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,955,0,0
2023122405,2023-12-24,2,14,5,MIN,DET,1,10,30,0,0,(14:05) 32-T.CHANDLER LEFT END TO MIN 31 FOR 1 YARD (29-K.VILDOR).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,30,OWN,0,,0,,0,955,0,0
2023122405,2023-12-24,2,13,31,MIN,DET,2,9,31,0,0,(13:31) (SHOTGUN) 12-N.MULLENS PASS SHORT LEFT TO 3-J.ADDISON TO MIN 33 FOR 2 YARDS (29-K.VILDOR).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,989,0,0
2023122405,2023-12-24,2,12,52,MIN,DET,3,7,33,0,0,"(12:52) (SHOTGUN) 12-N.MULLENS SACKED AT MIN 24 FOR -9 YARDS (32-B.BRANCH). FUMBLES (32-B.BRANCH) [32-B.BRANCH], TOUCHED AT MIN 27, RECOVERED BY MIN-56-G.BRADBURY AT MIN 28.",0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,33,OWN,0,,0,,0,1028,0,0
2023122405,2023-12-24,2,12,9,MIN,DET,4,12,28,0,0,"(12:09) 14-R.WRIGHT PUNTS 50 YARDS TO DET 22, CENTER-42-A.DEPAOLA, FAIR CATCH BY 11-K.RAYMOND.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,1071,0,0
2023122405,2023-12-24,2,12,3,MIN,DET,0,0,100,1,0,TIMEOUT AT 12:03.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1077,0,0
2023122405,2023-12-24,2,12,3,DET,MIN,1,10,22,1,0,(12:03) 16-J.GOFF PASS SHORT MIDDLE TO 14-A.ST. BROWN TO DET 37 FOR 15 YARDS (5-M.BLACKMON).,0,2023,15,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,1077,0,0
2023122405,2023-12-24,2,11,28,DET,MIN,1,10,37,0,0,(11:28) 5-D.MONTGOMERY LEFT END TO DET 41 FOR 4 YARDS (97-H.PHILLIPS; 44-J.METELLUS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,37,OWN,0,,0,,0,1112,0,0
2023122405,2023-12-24,2,11,6,DET,MIN,2,6,41,1,0,"(11:06) (NO HUDDLE, SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 5-D.MONTGOMERY TO 50 FOR 9 YARDS (40-I.PACE).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,1134,0,0
2023122405,2023-12-24,2,10,25,DET,MIN,1,10,100,0,0,(10:25) (SHOTGUN) 16-J.GOFF SACKED AT DET 39 FOR -11 YARDS (91-P.JONES).,0,2023,-11,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1175,0,0
2023122405,2023-12-24,2,9,38,DET,MIN,2,21,39,0,0,"(9:38) (SHOTGUN) PENALTY ON DET, DELAY OF GAME, 5 YARDS, ENFORCED AT DET 39 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,39,OWN,1,DET,1,DELAY OF GAME,5,1222,0,0
2023122405,2023-12-24,2,9,17,DET,MIN,2,26,34,0,0,"(9:17) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 87-S.LAPORTA TO DET 39 FOR 5 YARDS (25-TH.JACKSON). PENALTY ON MIN-91-P.JONES, ROUGHING THE PASSER, 15 YARDS, ENFORCED AT DET 39.",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,34,OWN,1,MIN,0,ROUGHING THE PASSER,15,1243,0,0
2023122405,2023-12-24,2,8,45,DET,MIN,1,10,54,0,0,(8:45) 70-D.SKIPPER REPORTED IN AS ELIGIBLE.  5-D.MONTGOMERY LEFT GUARD TO MIN 43 FOR 3 YARDS (99-D.HUNTER; 97-H.PHILLIPS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,46,OPP,0,,0,,0,1275,0,0
2023122405,2023-12-24,2,8,2,DET,MIN,2,7,57,1,0,"(8:02) 5-D.MONTGOMERY LEFT END TO MIN 32 FOR 11 YARDS (40-I.PACE, 24-C.BYNUM).",0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,43,OPP,0,,0,,0,1318,0,0
2023122405,2023-12-24,2,7,18,DET,MIN,1,10,68,0,0,(7:18) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 9-J.WILLIAMS PUSHED OB AT MIN 27 FOR 5 YARDS (5-M.BLACKMON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,1362,0,0
