GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CHI,ARI
2023122409,2023-12-24,4,6,37,ARI,CHI,0,0,98,1,0,TWO-POINT CONVERSION ATTEMPT. 1-K.MURRAY PASS TO 4-R.MOORE IS INCOMPLETE. ATTEMPT FAILS.,0,2023,0,UNDER CENTER,TWO-POINT CONVERSION,0,0,0,0,,0,0,0,,0,0,0,1,0,,2,OPP,0,,0,,0,16,3203,0,0
2023122409,2023-12-24,4,6,37,CHI,ARI,0,0,65,1,0,"5-M.PRATER KICKS 65 YARDS FROM ARI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,3203,0,0
2023122409,2023-12-24,4,6,37,CHI,ARI,1,10,25,0,0,(6:37) 24-K.HERBERT RIGHT END TO CHI 29 FOR 4 YARDS (97-C.THOMAS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,16,3203,0,0
2023122409,2023-12-24,4,5,57,CHI,ARI,2,6,29,0,0,(5:57) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 2-D.MOORE TO CHI 34 FOR 5 YARDS (25-Z.COLLINS; 24-S.THOMAS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,16,3243,0,0
2023122409,2023-12-24,4,5,18,CHI,ARI,3,1,34,0,0,(5:18) (SHOTGUN) DIRECT SNAP TO 23-R.JOHNSON.  23-R.JOHNSON RIGHT GUARD TO CHI 34 FOR NO GAIN (34-J.THOMPSON; 96-N.JONES).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,16,3282,0,0
2023122409,2023-12-24,4,4,33,CHI,ARI,4,1,34,0,0,"(4:33) 16-T.GILL PUNTS 57 YARDS TO ARI 9, CENTER-48-P.SCALES, DOWNED BY CHI-20-T.HOMER.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,16,3327,0,0
2023122409,2023-12-24,4,4,21,ARI,CHI,1,10,9,0,0,(4:21) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 6-J.CONNER TO ARI 16 FOR 7 YARDS (93-JU.JONES).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,9,OWN,0,,0,,0,16,3339,0,0
2023122409,2023-12-24,4,3,56,ARI,CHI,2,3,16,0,0,"(3:56) (NO HUDDLE, SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT LEFT TO 83-G.DORTCH.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,16,3364,0,0
2023122409,2023-12-24,4,3,52,ARI,CHI,3,3,16,1,0,(3:52) (SHOTGUN) 31-E.DEMERCADO RIGHT END TO ARI 23 FOR 7 YARDS (49-T.EDMUNDS).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,16,OWN,0,,0,,0,16,3368,0,0
2023122409,2023-12-24,4,3,32,ARI,CHI,1,10,23,0,0,"(3:32) (NO HUDDLE, SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 31-E.DEMERCADO TO ARI 27 FOR 4 YARDS (53-T.EDWARDS).",0,2023,4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,16,3388,0,0
