GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,LV
2023122500,2023-12-25,2,13,17,KC,LV,0,0,100,1,0,TIMEOUT AT 13:17.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1003,0,0
2023122500,2023-12-25,2,13,17,LV,KC,1,10,25,0,0,(13:17) 4-A.O'CONNELL PASS INCOMPLETE DEEP RIGHT TO 17-D.ADAMS.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1003,0,0
2023122500,2023-12-25,2,13,11,LV,KC,2,10,25,0,0,(13:11) (SHOTGUN) 4-A.O'CONNELL PASS INCOMPLETE SHORT MIDDLE TO 17-D.ADAMS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1009,0,0
2023122500,2023-12-25,2,13,7,LV,KC,3,10,25,0,0,(13:07) (SHOTGUN) 4-A.O'CONNELL PASS INCOMPLETE DEEP RIGHT TO 17-D.ADAMS [22-T.MCDUFFIE].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1013,0,0
2023122500,2023-12-25,2,13,2,LV,KC,4,10,25,0,0,"(13:02) 6-A.COLE PUNTS 49 YARDS TO KC 26, CENTER-50-J.BOBENMOYER, FAIR CATCH BY 17-R.JAMES.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1018,0,0
2023122500,2023-12-25,2,12,55,KC,LV,0,0,100,1,0,TIMEOUT AT 12:55.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1025,0,0
2023122500,2023-12-25,2,12,55,KC,LV,1,10,26,0,0,(12:55) 10-I.PACHECO RIGHT END TO KC 26 FOR NO GAIN (91-B.NICHOLS; 97-J.ROBINSON).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,26,OWN,0,,0,,0,1025,0,0
2023122500,2023-12-25,2,12,26,KC,LV,0,0,100,1,0,TIMEOUT #1 BY KC AT 12:26.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1054,0,0
2023122500,2023-12-25,2,12,26,KC,LV,2,10,26,0,0,(12:26) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE SHORT RIGHT TO 11-M.VALDES-SCANTLING.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1054,0,0
2023122500,2023-12-25,2,12,21,KC,LV,3,10,26,1,0,(12:21) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 4-R.RICE TO KC 41 FOR 15 YARDS (39-N.HOBBS).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1059,0,0
