GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,NO
2023122100,2023-12-21,2,10,23,NO,LA,1,10,25,1,0,(10:23) 4-D.CARR PASS SHORT LEFT TO 12-C.OLAVE TO NO 39 FOR 14 YARDS (43-J.JOHNSON).,0,2023,14,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,16,1177,0,0
2023122100,2023-12-21,2,10,23,LA,NO,0,0,100,1,0,TIMEOUT AT 10:23.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,1177,0,0
2023122100,2023-12-21,2,10,23,NO,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,1177,0,0
2023122100,2023-12-21,2,9,42,NO,LA,1,10,39,0,0,(9:42) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 22-R.SHAHEED (14-C.DURANT).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,16,1218,0,0
2023122100,2023-12-21,2,9,37,NO,LA,2,10,39,0,0,"(9:37) 21-J.WILLIAMS RIGHT TACKLE TO NO 44 FOR 5 YARDS (53-E.JONES, 97-M.HOECHT). PENALTY ON NO-67-L.YOUNG, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NO 39 - NO PLAY.",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT TACKLE,39,OWN,1,NO,1,OFFENSIVE HOLDING,10,16,1223,0,0
2023122100,2023-12-21,2,9,10,NO,LA,2,20,29,0,0,(9:10) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 22-R.SHAHEED.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,16,1250,0,0
2023122100,2023-12-21,2,9,6,NO,LA,3,20,29,0,0,(9:06) (SHOTGUN) 41-A.KAMARA UP THE MIDDLE TO NO 29 FOR NO GAIN (53-E.JONES; 91-K.TURNER).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,29,OWN,0,,0,,0,16,1254,0,0
2023122100,2023-12-21,2,8,31,NO,LA,4,20,29,0,0,"(8:31) 39-L.HEDLEY PUNTS 39 YARDS TO LAR 32, CENTER-49-Z.WOOD, DOWNED BY NO-52-D.JACKSON.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,16,1289,0,0
2023122100,2023-12-21,2,8,21,LA,NO,0,0,100,1,0,TIMEOUT AT 08:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,1299,0,0
2023122100,2023-12-21,2,8,21,LA,NO,1,10,68,0,0,(8:21) 9-M.STAFFORD PASS SHORT RIGHT TO 10-C.KUPP PUSHED OB AT LAR 37 FOR 5 YARDS (29-P.ADEBO).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,16,1299,0,0
2023122100,2023-12-21,2,7,41,LA,NO,2,5,63,0,0,(7:41) 20-R.RIVERS RIGHT GUARD TO LAR 38 FOR 1 YARD (56-D.DAVIS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,37,OPP,0,,0,,0,16,1339,0,0
2023122100,2023-12-21,2,7,0,LA,NO,3,4,62,1,0,(7:00) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 15-D.ROBINSON TO LAR 48 FOR 10 YARDS (29-P.ADEBO).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,16,1380,0,0
2023122100,2023-12-21,2,6,13,LA,NO,1,10,52,0,0,(6:13) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,16,1427,0,0
2023122100,2023-12-21,2,6,9,LA,NO,2,10,52,1,0,(6:09) (SHOTGUN) 9-M.STAFFORD PASS DEEP RIGHT TO 15-D.ROBINSON TO NO 36 FOR 16 YARDS (29-P.ADEBO).,0,2023,16,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,16,1431,0,0
2023122100,2023-12-21,2,5,23,LA,NO,1,10,64,0,0,(5:23) (SHOTGUN) 20-R.RIVERS RIGHT TACKLE TO NO 33 FOR 3 YARDS (94-C.JORDAN; 29-P.ADEBO).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,36,OPP,0,,0,,0,16,1477,0,0
2023122100,2023-12-21,2,4,41,LA,NO,2,7,67,0,0,(4:41) 9-M.STAFFORD PASS SHORT LEFT TO 17-P.NACUA PUSHED OB AT NO 28 FOR 5 YARDS (27-I.YIADOM).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,16,1519,0,0
2023122100,2023-12-21,2,4,1,LA,NO,3,2,72,0,0,(4:01) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 10-C.KUPP.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,16,1559,0,0
2023122100,2023-12-21,2,3,57,LA,NO,4,2,72,0,0,"(3:57) 8-L.HAVRISIK 47 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-46-C.TINKER, HOLDER-42-E.EVANS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,16,1563,0,0
2023122100,2023-12-21,2,3,53,LA,NO,0,0,100,1,0,TIMEOUT AT 03:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,1567,0,0
2023122100,2023-12-21,2,3,53,NO,LA,1,10,37,1,0,(3:53) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 83-J.JOHNSON PUSHED OB AT LAR 43 FOR 20 YARDS (96-K.THOMAS).,0,2023,20,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,16,1567,0,0
2023122100,2023-12-21,2,3,16,NO,LA,1,10,57,0,0,(3:16) 41-A.KAMARA LEFT TACKLE TO LAR 45 FOR -2 YARDS (99-A.DONALD).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,43,OPP,0,,0,,0,16,1604,0,0
2023122100,2023-12-21,2,2,34,NO,LA,2,12,55,1,0,"(2:34) 4-D.CARR PASS DEEP MIDDLE TO 22-R.SHAHEED FOR 45 YARDS, TOUCHDOWN.",0,2023,45,UNDER CENTER,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,16,1646,0,0
2023122100,2023-12-21,2,2,28,NO,LA,0,0,85,1,0,"19-B.GRUPE EXTRA POINT IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,16,1652,0,0
2023122100,2023-12-21,2,2,28,LA,NO,0,0,65,1,0,"19-B.GRUPE KICKS 59 YARDS FROM NO 35 TO LAR 6, FAIR CATCH BY 81-A.TRAMMELL.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,1652,0,0
2023122100,2023-12-21,2,2,28,LA,NO,1,10,75,0,0,"(2:28) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 15-D.ROBINSON TO LAR 30 FOR 5 YARDS (29-P.ADEBO, 56-D.DAVIS).",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,16,1652,0,0
