GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,SF
2023102300,2023-10-23,2,15,0,SF,MIN,3,5,78,0,0,(15:00) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT LEFT TO 15-J.JENNINGS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,7,900,0,0
2023102300,2023-10-23,2,14,57,SF,MIN,4,5,78,0,0,"(14:57) 4-J.MOODY 40 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,7,903,0,0
2023102300,2023-10-23,2,14,53,MIN,SF,1,10,30,0,0,(14:53) 31-C.AKERS UP THE MIDDLE TO MIN 32 FOR 2 YARDS (97-N.BOSA).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,30,OWN,0,,0,,0,7,907,0,0
2023102300,2023-10-23,2,14,53,MIN,SF,0,0,100,1,0,TIMEOUT AT 14:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,907,0,0
2023102300,2023-10-23,2,14,16,MIN,SF,2,8,32,1,0,(14:16) 8-K.COUSINS PASS SHORT LEFT TO 87-T.HOCKENSON TO MIN 43 FOR 11 YARDS (94-C.FERRELL).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,7,944,0,0
2023102300,2023-10-23,2,13,39,MIN,SF,1,10,43,0,0,(13:39) 31-C.AKERS RIGHT TACKLE TO MIN 46 FOR 3 YARDS (57-D.GREENLAW).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,43,OWN,0,,0,,0,7,981,0,0
2023102300,2023-10-23,2,13,8,MIN,SF,2,7,46,1,0,"(13:08) (NO HUDDLE, SHOTGUN) 8-K.COUSINS PASS SHORT RIGHT TO 87-T.HOCKENSON PUSHED OB AT SF 46 FOR 8 YARDS (57-D.GREENLAW).",0,2023,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,7,1012,0,0
2023102300,2023-10-23,2,12,40,MIN,SF,1,10,54,0,0,(12:40) (NO HUDDLE) 8-K.COUSINS PASS SHORT RIGHT TO 87-T.HOCKENSON TO SF 45 FOR 1 YARD (29-T.HUFANGA).,0,2023,1,NO HUDDLE,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,7,1040,0,0
2023102300,2023-10-23,2,12,4,MIN,SF,2,9,55,1,0,(12:04) 31-C.AKERS UP THE MIDDLE TO SF 32 FOR 13 YARDS (48-O.BURKS).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,7,1076,0,0
2023102300,2023-10-23,2,11,25,MIN,SF,1,10,68,0,0,"(11:25) 31-C.AKERS UP THE MIDDLE TO SF 26 FOR 6 YARDS (98-J.HARGRAVE, 94-C.FERRELL).",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OPP,0,,0,,0,7,1115,0,0
