GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,KC,LAC
2023102209,2023-10-22,1,15,0,LAC,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,0,0,0
2023102209,2023-10-22,1,15,0,LAC,KC,1,10,25,0,0,(15:00) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 30-A.EKELER PUSHED OB AT LAC 26 FOR 1 YARD (38-L.SNEED).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,7,0,0,0
2023102209,2023-10-22,1,14,35,LAC,KC,2,9,26,0,0,(14:35) 30-A.EKELER RIGHT GUARD TO LAC 31 FOR 5 YARDS (38-L.SNEED; 32-N.BOLTON).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,26,OWN,0,,0,,0,7,25,0,0
2023102209,2023-10-22,1,14,8,LAC,KC,3,4,31,0,0,"(14:08) (NO HUDDLE, SHOTGUN) 10-J.HERBERT PASS INCOMPLETE SHORT RIGHT TO 5-J.PALMER [95-C.JONES]. PENALTY ON KC-38-L.SNEED, DEFENSIVE PASS INTERFERENCE, 4 YARDS, ENFORCED AT LAC 31 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,31,OWN,1,KC,1,DEFENSIVE PASS INTERFERENCE,4,7,52,0,0
2023102209,2023-10-22,1,14,5,LAC,KC,1,10,35,0,0,(14:05) (SHOTGUN) 30-A.EKELER RIGHT TACKLE TO LAC 37 FOR 2 YARDS (51-M.DANNA).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,35,OWN,0,,0,,0,7,55,0,0
2023102209,2023-10-22,1,13,28,LAC,KC,2,8,37,0,0,(13:28) (SHOTGUN) 10-J.HERBERT SCRAMBLES RIGHT END TO LAC 43 FOR 6 YARDS (50-W.GAY).,0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,7,92,0,0
2023102209,2023-10-22,1,12,48,LAC,KC,3,2,43,0,0,(12:48) (SHOTGUN) 10-J.HERBERT SACKED AT LAC 37 FOR -6 YARDS (56-G.KARLAFTIS).,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,7,132,0,0
2023102209,2023-10-22,1,12,7,LAC,KC,4,8,37,0,0,"(12:07) 16-J.SCOTT PUNTS 46 YARDS TO KC 17, CENTER-47-J.HARRIS, FAIR CATCH BY 12-M.HARDMAN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,7,173,0,0
2023102209,2023-10-22,1,11,59,KC,LAC,1,10,17,0,0,(11:59) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 4-R.RICE TO KC 20 FOR 3 YARDS (43-M.DAVIS).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,7,181,0,0
2023102209,2023-10-22,1,11,33,KC,LAC,2,7,20,0,0,(11:33) 10-I.PACHECO RIGHT END TO KC 21 FOR 1 YARD (45-T.TUIPULOTU).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,20,OWN,0,,0,,0,7,207,0,0
