GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NE,MIA
2023091712,2023-09-17,2,14,32,MIA,NE,2,7,30,0,0,"(14:32) (NO HUDDLE, SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT LEFT TO 0-B.BERRIOS.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,2,928,0,0
2023091712,2023-09-17,2,14,28,MIA,NE,3,7,30,1,0,(14:28) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 10-T.HILL TO MIA 38 FOR 8 YARDS (6-C.GONZALEZ).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,2,932,0,0
2023091712,2023-09-17,2,13,48,MIA,NE,1,10,38,0,0,(13:48) (SHOTGUN) 31-R.MOSTERT UP THE MIDDLE TO MIA 41 FOR 3 YARDS (8-J.BENTLEY; 92-D.GODCHAUX).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OWN,0,,0,,0,2,972,0,0
2023091712,2023-09-17,2,13,10,MIA,NE,2,7,41,1,0,(13:10) (SHOTGUN) 26-S.AHMED LEFT END TO NE 49 FOR 10 YARDS (8-J.BENTLEY).,0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OWN,0,,0,,0,2,1010,0,0
2023091712,2023-09-17,2,12,28,MIA,NE,1,10,51,1,0,(12:28) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 17-J.WADDLE TO NE 34 FOR 15 YARDS (6-C.GONZALEZ).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,2,1052,0,0
2023091712,2023-09-17,2,11,44,MIA,NE,1,10,66,0,0,"(11:44) (SHOTGUN) 26-S.AHMED LEFT END TO NE 31 FOR 3 YARDS (23-K.DUGGER). PENALTY ON MIA-77-I.WYNN, ILLEGAL BLOCK ABOVE THE WAIST, 10 YARDS, ENFORCED AT NE 33.",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,34,OPP,1,MIA,0,ILLEGAL BLOCK ABOVE THE WAIST,10,2,1096,0,0
2023091712,2023-09-17,2,11,20,MIA,NE,1,19,57,0,0,(11:20) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE DEEP LEFT TO 10-T.HILL.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,2,1120,0,0
2023091712,2023-09-17,2,11,15,MIA,NE,2,19,57,1,0,(11:15) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 17-J.WADDLE TO NE 15 FOR 28 YARDS (25-MA.JONES). NE-25-MA.JONES WAS INJURED DURING THE PLAY.,0,2023,28,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,2,1125,0,0
2023091712,2023-09-17,2,11,0,MIA,NE,0,0,100,1,0,TIMEOUT AT 11:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,1140,0,0
2023091712,2023-09-17,2,10,42,MIA,NE,1,10,85,0,0,"(10:42) (SHOTGUN) PENALTY ON NE-27-M.BRYANT, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT NE 15 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,NE,1,NEUTRAL ZONE INFRACTION,5,2,1158,0,0
2023091712,2023-09-17,2,10,22,MIA,NE,1,5,90,0,0,(10:22) (SHOTGUN) 26-S.AHMED LEFT TACKLE TO NE 8 FOR 2 YARDS (5-J.PEPPERS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,10,OPP,0,,0,,0,2,1178,0,0
2023091712,2023-09-17,2,9,43,MIA,NE,2,3,92,1,0,"(9:43) (SHOTGUN) 31-R.MOSTERT LEFT END FOR 8 YARDS, TOUCHDOWN.",0,2023,8,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT END,8,OPP,0,,0,,0,2,1217,0,0
2023091712,2023-09-17,2,9,39,NE,MIA,0,0,100,1,0,TIMEOUT AT 09:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,1221,0,0
2023091712,2023-09-17,2,9,39,MIA,NE,0,0,85,1,0,"7-J.SANDERS EXTRA POINT IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,2,1221,0,0
2023091712,2023-09-17,2,9,39,NE,MIA,0,0,65,1,0,"16-J.BAILEY KICKS 65 YARDS FROM MIA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2,1221,0,0
2023091712,2023-09-17,2,9,39,NE,MIA,1,10,25,0,0,(9:39) (SHOTGUN) 15-E.ELLIOTT LEFT GUARD TO NE 28 FOR 3 YARDS (55-J.BAKER).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,2,1221,0,0
2023091712,2023-09-17,2,9,4,NE,MIA,2,7,28,0,0,(9:04) (SHOTGUN) 10-M.JONES PASS SHORT RIGHT TO 7-J.SMITH-SCHUSTER TO NE 34 FOR 6 YARDS (25-X.HOWARD).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,2,1256,0,0
2023091712,2023-09-17,2,8,28,NE,MIA,3,1,34,1,0,(8:28) (SHOTGUN) 38-R.STEVENSON UP THE MIDDLE TO NE 35 FOR 1 YARD (43-A.VAN GINKEL; 51-D.LONG).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OWN,0,,0,,0,2,1292,0,0
2023091712,2023-09-17,2,7,44,NE,MIA,1,10,35,0,0,(7:44) (SHOTGUN) 10-M.JONES PASS INCOMPLETE DEEP LEFT TO 84-K.BOURNE [51-D.LONG].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,2,1336,0,0
2023091712,2023-09-17,2,7,39,NE,MIA,2,10,35,0,0,"(7:39) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 7-J.SMITH-SCHUSTER TO NE 35 FOR NO GAIN (43-A.VAN GINKEL, 4-K.KOHOU).",0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,2,1341,0,0
2023091712,2023-09-17,2,6,57,NE,MIA,3,10,35,0,0,"(6:57) (SHOTGUN) 10-M.JONES PASS INCOMPLETE SHORT MIDDLE TO 14-T.MONTGOMERY (43-A.VAN GINKEL) [43-A.VAN GINKEL]. MIAMI CHALLENGED THE INCOMPLETE PASS RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,1,0,,0,0,0,0,0,,35,OWN,0,,0,,0,2,1383,0,0
2023091712,2023-09-17,2,6,54,NE,MIA,4,10,35,0,0,"(6:54) 17-B.BARINGER PUNTS 58 YARDS TO MIA 7, CENTER-49-J.CARDONA. 0-B.BERRIOS TO MIA 16 FOR 9 YARDS (41-B.SCHOOLER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,2,1386,0,0
2023091712,2023-09-17,2,6,42,MIA,NE,1,10,16,0,0,"(6:42) 31-R.MOSTERT LEFT END TO MIA 19 FOR 3 YARDS (48-JA.TAVAI, 30-M.MAPU).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,16,OWN,0,,0,,0,2,1398,0,0
2023091712,2023-09-17,2,6,0,MIA,NE,2,7,19,0,0,(6:00) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 10-T.HILL.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,2,1440,0,0
2023091712,2023-09-17,2,5,56,MIA,NE,3,7,19,0,0,(5:56) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE DEEP LEFT TO 17-J.WADDLE (27-M.BRYANT).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,2,1444,0,0
2023091712,2023-09-17,2,5,51,MIA,NE,4,7,19,0,0,"(5:51) 16-J.BAILEY PUNTS 37 YARDS TO NE 44, CENTER-44-B.FERGUSON, FAIR CATCH BY 81-D.DOUGLAS. PENALTY ON NE-5-J.PEPPERS, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NE 44.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,19,OWN,1,NE,0,OFFENSIVE HOLDING,10,2,1449,0,0
2023091712,2023-09-17,2,5,44,NE,MIA,1,10,34,0,0,(5:44) (SHOTGUN) 10-M.JONES PASS SHORT RIGHT TO 88-M.GESICKI TO NE 43 FOR 9 YARDS (25-X.HOWARD).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,2,1456,0,0
2023091712,2023-09-17,2,5,44,NE,MIA,0,0,100,1,0,TIMEOUT AT 05:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,1456,0,0
2023091712,2023-09-17,2,5,17,NE,MIA,2,1,43,1,0,"(5:17) (NO HUDDLE, SHOTGUN) 38-R.STEVENSON UP THE MIDDLE TO NE 45 FOR 2 YARDS (98-R.DAVIS).",0,2023,2,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OWN,0,,0,,0,2,1483,0,0
2023091712,2023-09-17,2,4,49,NE,MIA,1,10,45,0,0,"(4:49) (NO HUDDLE, SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 85-H.HENRY TO MIA 47 FOR 8 YARDS (2-B.CHUBB).",0,2023,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,2,1511,0,0
2023091712,2023-09-17,2,4,27,NE,MIA,2,2,53,0,0,"(4:27) (NO HUDDLE, SHOTGUN) 38-R.STEVENSON UP THE MIDDLE TO MIA 46 FOR 1 YARD (98-R.DAVIS; 8-J.HOLLAND).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,47,OPP,0,,0,,0,2,1533,0,0
2023091712,2023-09-17,2,4,3,NE,MIA,3,1,54,1,0,(4:03) (NO HUDDLE) 10-M.JONES UP THE MIDDLE TO MIA 44 FOR 2 YARDS (94-C.WILKINS; 2-B.CHUBB).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OPP,0,,0,,0,2,1557,0,0
2023091712,2023-09-17,2,3,25,NE,MIA,1,10,56,1,0,"(3:25) (NO HUDDLE, SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 1-D.PARKER TO MIA 32 FOR 12 YARDS (51-D.LONG).",0,2023,12,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,2,1595,0,0
