GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LA,SF
2023091709,2023-09-17,2,11,33,LA,SF,1,10,76,0,0,(11:33) (SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 17-P.NACUA TO SF 15 FOR 9 YARDS (26-I.OLIVER; 54-F.WARNER).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,1107,0,0
2023091709,2023-09-17,2,11,7,LA,SF,2,1,85,1,0,"(11:07) 23-K.WILLIAMS UP THE MIDDLE TO SF 13 FOR 2 YARDS (91-A.ARMSTEAD, 7-C.WARD).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,15,OPP,0,,0,,0,1133,0,0
2023091709,2023-09-17,2,10,24,LA,SF,1,10,87,0,0,"(10:24) 17-P.NACUA RIGHT END TO SF 13 FOR NO GAIN (57-D.GREENLAW, 29-T.HUFANGA). PENALTY ON SF-57-D.GREENLAW, UNNECESSARY ROUGHNESS, 7 YARDS, ENFORCED AT SF 13.",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,13,OPP,1,SF,0,UNNECESSARY ROUGHNESS,7,1176,0,0
2023091709,2023-09-17,2,9,55,LA,SF,1,6,94,1,0,"(9:55) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 23-K.WILLIAMS FOR 6 YARDS, TOUCHDOWN.",0,2023,6,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,1205,0,0
2023091709,2023-09-17,2,9,49,LA,SF,0,0,85,1,0,"8-B.MAHER EXTRA POINT IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1211,0,0
2023091709,2023-09-17,2,9,49,LA,SF,0,0,100,1,0,TIMEOUT AT 09:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1211,0,0
2023091709,2023-09-17,2,9,49,SF,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1211,0,0
2023091709,2023-09-17,2,9,49,SF,LA,1,10,25,1,0,"(9:49) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 85-G.KITTLE TO SF 37 FOR 12 YARDS (0-B.YOUNG, 2-R.YEAST).",0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1211,0,0
2023091709,2023-09-17,2,9,13,SF,LA,1,10,37,1,0,(9:13) 19-D.SAMUEL LEFT END PUSHED OB AT LAR 46 FOR 17 YARDS (2-R.YEAST).,0,2023,17,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,37,OWN,0,,0,,0,1247,0,0
2023091709,2023-09-17,2,8,36,SF,LA,1,10,54,0,0,"(8:36) (SHOTGUN) 23-C.MCCAFFREY LEFT GUARD TO LAR 45 FOR 1 YARD (0-B.YOUNG, 92-J.WILLIAMS).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,46,OPP,0,,0,,0,1284,0,0
2023091709,2023-09-17,2,7,57,SF,LA,2,9,55,0,0,(7:57) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP RIGHT TO 11-B.AIYUK.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,1323,0,0
2023091709,2023-09-17,2,7,51,SF,LA,3,9,55,0,0,(7:51) (SHOTGUN) 13-B.PURDY SACKED AT LAR 45 FOR 0 YARDS (0-B.YOUNG).,0,2023,0,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,1329,0,0
2023091709,2023-09-17,2,7,10,SF,LA,4,9,55,0,0,"(7:10) 18-M.WISHNOWSKY PUNTS 33 YARDS TO LAR 12, CENTER-46-T.PEPPER, FAIR CATCH BY 23-K.WILLIAMS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,1370,0,0
2023091709,2023-09-17,2,7,2,LA,SF,1,10,88,0,0,(7:02) 23-K.WILLIAMS RIGHT TACKLE TO LAR 17 FOR 5 YARDS (54-F.WARNER).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,12,OPP,0,,0,,0,1378,0,0
2023091709,2023-09-17,2,7,2,LA,SF,0,0,100,1,0,TIMEOUT AT 07:02.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1378,0,0
2023091709,2023-09-17,2,6,22,LA,SF,2,5,83,1,0,"(6:22) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 17-P.NACUA TO LAR 25 FOR 8 YARDS (7-C.WARD, 57-D.GREENLAW).",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,1418,0,0
2023091709,2023-09-17,2,5,39,LA,SF,1,10,75,0,0,(5:39) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT LEFT [94-C.FERRELL].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,1461,0,0
2023091709,2023-09-17,2,5,33,LA,SF,2,10,75,1,0,(5:33) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 5-T.ATWELL TO LAR 36 FOR 11 YARDS (2-D.LENOIR).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,1467,0,0
2023091709,2023-09-17,2,4,49,LA,SF,1,10,64,0,0,"(4:49) (SHOTGUN) 5-T.ATWELL RIGHT END TO LAR 41 FOR 5 YARDS (57-D.GREENLAW). LAR-18-B.SKOWRONEK WAS INJURED DURING THE PLAY.  PENALTY ON SF-26-I.OLIVER, ILLEGAL USE OF HANDS, 5 YARDS, ENFORCED AT LAR 41.",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,36,OPP,1,SF,0,ILLEGAL USE OF HANDS,5,1511,0,0
2023091709,2023-09-17,2,4,22,LA,SF,1,10,54,1,0,(4:22) 9-M.STAFFORD PASS DEEP LEFT TO 5-T.ATWELL TO SF 36 FOR 18 YARDS (2-D.LENOIR).,0,2023,18,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,1538,0,0
2023091709,2023-09-17,2,3,52,LA,SF,1,10,64,0,0,(3:52) (NO HUDDLE) 9-M.STAFFORD PASS INCOMPLETE SHORT LEFT TO 89-T.HIGBEE (95-D.JACKSON).,0,2023,0,NO HUDDLE,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,1568,0,0
2023091709,2023-09-17,2,3,46,LA,SF,2,10,64,1,0,(3:46) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 17-P.NACUA TO SF 23 FOR 13 YARDS (29-T.HUFANGA).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,1574,0,0
2023091709,2023-09-17,2,3,1,LA,SF,1,10,77,0,0,(3:01) 23-K.WILLIAMS LEFT TACKLE TO SF 17 FOR 6 YARDS (54-F.WARNER).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,23,OPP,0,,0,,0,1619,0,0
2023091709,2023-09-17,2,3,1,LA,SF,0,0,100,1,0,TIMEOUT #2 BY LAR AT 03:01.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1619,0,0
2023091709,2023-09-17,2,2,23,LA,SF,2,4,83,1,0,(2:23) (SHOTGUN) 23-K.WILLIAMS LEFT TACKLE TO SF 13 FOR 4 YARDS (57-D.GREENLAW).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,17,OPP,0,,0,,0,1657,0,0
2023091709,2023-09-17,2,2,0,LA,SF,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1680,0,0
2023091709,2023-09-17,2,2,0,LA,SF,1,10,87,0,0,(2:00) 23-K.WILLIAMS RIGHT END TO SF 6 FOR 7 YARDS (31-T.GIPSON).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,13,OPP,0,,0,,0,1680,0,0
2023091709,2023-09-17,2,1,55,LA,SF,2,3,94,0,0,(1:55) 23-K.WILLIAMS UP THE MIDDLE TO SF 4 FOR 2 YARDS (54-F.WARNER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,6,OPP,0,,0,,0,1685,0,0
2023091709,2023-09-17,2,1,55,LA,SF,0,0,100,1,0,TIMEOUT #2 BY SF AT 01:55.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1685,0,0
