GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TEN,JAX,Week
2024010702,2024-01-07,3,5,8,TEN,JAX,0,0,100,1,0,TIMEOUT AT 05:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2392,0,0,18
2024010702,2024-01-07,4,14,55,TEN,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2705,0,0,18
2024010702,2024-01-07,4,14,55,TEN,JAX,1,10,25,0,0,(14:55) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 32-T.SPEARS PUSHED OB AT TEN 28 FOR 3 YARDS (32-TY.CAMPBELL).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,2705,0,0,18
2024010702,2024-01-07,4,14,19,TEN,JAX,2,7,28,0,0,(14:19) 22-D.HENRY UP THE MIDDLE TO TEN 29 FOR 1 YARD (32-TY.CAMPBELL).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,28,OWN,0,,0,,0,2741,0,0,18
2024010702,2024-01-07,4,13,34,TEN,JAX,3,6,29,1,0,(13:34) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 18-K.PHILIPS RAN OB AT TEN 39 FOR 10 YARDS [41-J.ALLEN].,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,2786,0,0,18
2024010702,2024-01-07,4,12,56,TEN,JAX,1,10,39,0,0,(12:56) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 10-D.HOPKINS PUSHED OB AT TEN 43 FOR 4 YARDS (31-DARI.WILLIAMS).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,2824,0,0,18
2024010702,2024-01-07,4,12,18,TEN,JAX,2,6,43,1,0,(12:18) 17-R.TANNEHILL PASS SHORT MIDDLE INTENDED FOR 10-D.HOPKINS INTERCEPTED BY 5-A.CISCO AT JAX 43. 5-A.CISCO PUSHED OB AT TEN 28 FOR 29 YARDS (17-R.TANNEHILL).,0,2023,29,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,1,0,0,0,0,,43,OWN,0,,0,,0,2862,0,0,18
2024010702,2024-01-07,4,7,13,TEN,JAX,1,5,6,1,0,(7:13) 22-D.HENRY UP THE MIDDLE TO TEN 11 FOR 5 YARDS (23-F.OLUOKUN; 96-A.GOTSIS).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,6,OWN,0,,0,,0,3167,0,0,18
2024010702,2024-01-07,4,7,13,TEN,JAX,0,0,100,1,0,TIMEOUT AT 07:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3167,0,0,18
2024010702,2024-01-07,4,7,13,TEN,JAX,1,10,1,0,0,"(7:13) PENALTY ON JAX-52-D.HAMILTON, ENCROACHMENT, 5 YARDS, ENFORCED AT TEN 1 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,1,OWN,1,JAX,1,ENCROACHMENT,5,3167,0,0,18
