GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BAL,TEN
2023101500,2023-10-15,2,14,2,TEN,BAL,3,5,30,0,0,(14:02) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT RIGHT TO 10-D.HOPKINS (50-K.VAN NOY) [24-J.CLOWNEY].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,6,958,0,0
2023101500,2023-10-15,2,13,58,TEN,BAL,4,5,30,0,0,"(13:58) 4-R.STONEHOUSE PUNTS 57 YARDS TO BAL 13, CENTER-46-M.COX. 13-D.DUVERNAY PUSHED OB AT TEN 17 FOR 70 YARDS (4-R.STONEHOUSE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,6,962,0,0
2023101500,2023-10-15,2,13,40,BAL,TEN,1,10,83,0,0,(13:40) (SHOTGUN) 8-L.JACKSON SCRAMBLES RIGHT TACKLE TO TEN 13 FOR 4 YARDS (31-K.BYARD).,0,2023,4,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,6,980,0,0
2023101500,2023-10-15,2,12,55,BAL,TEN,2,6,87,1,0,(12:55) (SHOTGUN) 8-L.JACKSON RIGHT END PUSHED OB AT TEN 6 FOR 7 YARDS (31-K.BYARD).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,13,OPP,0,,0,,0,6,1025,0,0
2023101500,2023-10-15,2,12,18,BAL,TEN,1,6,94,0,0,(12:18) (SHOTGUN) 35-G.EDWARDS RIGHT GUARD TO TEN 3 FOR 3 YARDS (2-A.AL-SHAAIR).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,6,OPP,0,,0,,0,6,1062,0,0
2023101500,2023-10-15,2,11,40,BAL,TEN,2,3,97,0,0,(11:40) (SHOTGUN) 35-G.EDWARDS LEFT GUARD TO TEN 1 FOR 2 YARDS (2-A.AL-SHAAIR).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,3,OPP,0,,0,,0,6,1100,0,0
2023101500,2023-10-15,2,10,59,BAL,TEN,3,1,99,0,0,(10:59) (SHOTGUN) 8-L.JACKSON RIGHT TACKLE TO TEN 5 FOR -4 YARDS (58-H.LANDRY).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,1,OPP,0,,0,,0,6,1141,0,0
2023101500,2023-10-15,2,10,16,BAL,TEN,4,5,95,0,0,"(10:16) 9-J.TUCKER 23 YARD FIELD GOAL IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,6,1184,0,0
2023101500,2023-10-15,2,10,13,TEN,BAL,1,10,25,0,0,(10:13) 22-D.HENRY UP THE MIDDLE TO TEN 31 FOR 6 YARDS (96-B.WASHINGTON; 6-P.QUEEN).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,6,1187,0,0
2023101500,2023-10-15,2,10,13,TEN,BAL,0,0,100,1,0,TIMEOUT AT 10:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,1187,0,0
