GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIA,NE
2023102904,2023-10-29,1,0,28,MIA,NE,2,6,58,1,0,"(:28) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP LEFT TO 10-T.HILL FOR 42 YARDS, TOUCHDOWN.",0,2023,42,SHOTGUN,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,872,0,0
2023102904,2023-10-29,1,0,22,NE,MIA,1,10,25,0,0,(:22) (SHOTGUN) 10-M.JONES PASS SHORT RIGHT TO 81-D.DOUGLAS TO NE 27 FOR 2 YARDS (51-D.LONG).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,878,0,0
2023102904,2023-10-29,1,0,22,MIA,NE,0,0,85,1,0,"7-J.SANDERS EXTRA POINT IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,878,0,0
2023102904,2023-10-29,1,0,22,NE,MIA,0,0,65,1,0,"7-J.SANDERS KICKS 65 YARDS FROM MIA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,878,0,0
2023102904,2023-10-29,2,15,0,NE,MIA,2,8,27,0,0,"(15:00) 15-E.ELLIOTT LEFT END TO NE 33 FOR 6 YARDS (5-J.RAMSEY). FUMBLES (5-J.RAMSEY), TOUCHED AT NE 32, BALL OUT OF BOUNDS AT NE 28. PENALTY ON NE-84-K.BOURNE, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NE 27 - NO PLAY.",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,1,1,0,0,LEFT END,27,OWN,1,NE,1,OFFENSIVE HOLDING,10,900,0,0
2023102904,2023-10-29,1,0,0,NE,MIA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023102904,2023-10-29,2,14,31,NE,MIA,2,18,17,0,0,(14:31) (SHOTGUN) 15-E.ELLIOTT RIGHT TACKLE TO NE 19 FOR 2 YARDS (94-C.WILKINS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,17,OWN,0,,0,,0,929,0,0
2023102904,2023-10-29,2,13,49,NE,MIA,3,16,19,0,0,(13:49) (SHOTGUN) 10-M.JONES PASS INCOMPLETE SHORT LEFT TO 38-R.STEVENSON [2-B.CHUBB].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,971,0,0
2023102904,2023-10-29,2,13,44,NE,MIA,4,21,14,0,0,"(13:44) 17-B.BARINGER PUNTS 44 YARDS TO MIA 42, CENTER-49-J.CARDONA. 0-B.BERRIOS TO MIA 47 FOR 5 YARDS (41-B.SCHOOLER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,976,0,0
2023102904,2023-10-29,2,13,35,MIA,NE,1,10,47,0,0,"(13:35) 31-R.MOSTERT RIGHT TACKLE TO MIA 47 FOR NO GAIN (93-L.GUY, 48-JA.TAVAI). PENALTY ON NE-92-D.GODCHAUX, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT MIA 47 - NO PLAY.",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT TACKLE,47,OWN,1,NE,1,DEFENSIVE HOLDING,5,985,0,0
2023102904,2023-10-29,2,13,35,MIA,NE,0,0,100,1,0,TIMEOUT AT 13:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,985,0,0
2023102904,2023-10-29,2,13,10,MIA,NE,1,10,52,0,0,(13:10) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 89-J.HILL TO NE 44 FOR 4 YARDS (8-J.BENTLEY).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,1010,0,0
2023102904,2023-10-29,2,12,32,MIA,NE,2,6,56,0,0,(12:32) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 26-S.AHMED TO MIA 48 FOR -8 YARDS (99-K.WHITE).,0,2023,-8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,1048,0,0
2023102904,2023-10-29,2,11,53,MIA,NE,3,14,48,0,0,(11:53) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 10-T.HILL PUSHED OB AT NE 42 FOR 10 YARDS (31-JO.JONES).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,1087,0,0
2023102904,2023-10-29,2,11,14,MIA,NE,4,4,58,1,0,(11:14) (SHOTGUN) 1-T.TAGOVAILOA SCRAMBLES UP THE MIDDLE TO NE 34 FOR 8 YARDS (23-K.DUGGER; 48-JA.TAVAI).,0,2023,8,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,1126,0,0
2023102904,2023-10-29,2,10,32,MIA,NE,1,10,66,0,0,(10:32) 31-R.MOSTERT LEFT END TO NE 31 FOR 3 YARDS (90-C.BARMORE).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OPP,0,,0,,0,1168,0,0
2023102904,2023-10-29,2,9,52,MIA,NE,2,7,69,1,0,(9:52) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 10-T.HILL TO NE 17 FOR 14 YARDS (3-M.WILSON).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,1208,0,0
2023102904,2023-10-29,2,9,11,MIA,NE,1,10,83,0,0,(9:11) (SHOTGUN) 26-S.AHMED UP THE MIDDLE TO NE 15 FOR 2 YARDS (90-C.BARMORE; 48-JA.TAVAI).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,17,OPP,0,,0,,0,1249,0,0
2023102904,2023-10-29,2,8,31,MIA,NE,2,8,85,0,0,(8:31) (SHOTGUN) 1-T.TAGOVAILOA SACKED AT NE 21 FOR -6 YARDS (23-K.DUGGER).,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1289,0,0
2023102904,2023-10-29,2,7,49,MIA,NE,3,14,79,0,0,(7:49) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 17-J.WADDLE TO NE 8 FOR 13 YARDS (13-J.JONES). MIA-68-R.HUNT WAS INJURED DURING THE PLAY. HIS RETURN IS PROBABLE.,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,1331,0,0
