GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CHI,ATL
2023123103,2023-12-31,1,0,0,CHI,ATL,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023123103,2023-12-31,2,15,0,CHI,ATL,2,7,81,1,0,(15:00) 1-J.FIELDS PASS SHORT MIDDLE TO 18-R.TONYAN TO ATL 9 FOR 10 YARDS (53-N.LANDMAN).,0,2023,10,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,900,0,0
2023123103,2023-12-31,2,14,20,CHI,ATL,1,9,91,1,0,"(14:20) (SHOTGUN) 1-J.FIELDS LEFT GUARD FOR 9 YARDS, TOUCHDOWN.",0,2023,9,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT GUARD,9,OPP,0,,0,,0,940,0,0
2023123103,2023-12-31,2,14,14,CHI,ATL,0,0,85,1,0,"8-C.SANTOS EXTRA POINT IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,946,0,0
2023123103,2023-12-31,2,14,14,CHI,ATL,0,0,100,1,0,TIMEOUT AT 14:14.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,946,0,0
2023123103,2023-12-31,2,14,14,ATL,CHI,0,0,65,1,0,"16-T.GILL KICKS 65 YARDS FROM CHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,946,0,0
2023123103,2023-12-31,2,14,14,ATL,CHI,1,10,25,1,0,"(14:14) (SHOTGUN) 4-T.HEINICKE PASS SHORT RIGHT TO 25-T.ALLGEIER FOR 75 YARDS, TOUCHDOWN.",0,2023,75,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,946,0,0
2023123103,2023-12-31,2,14,0,ATL,CHI,0,0,85,1,0,"6-Y.KOO EXTRA POINT IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,960,0,0
2023123103,2023-12-31,2,14,0,CHI,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,960,0,0
2023123103,2023-12-31,2,14,0,CHI,ATL,1,10,25,0,0,(14:00) 1-J.FIELDS PASS INCOMPLETE SHORT LEFT TO 24-K.HERBERT (17-A.EBIKETIE).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,960,0,0
2023123103,2023-12-31,2,13,55,CHI,ATL,2,10,25,0,0,"(13:55) (SHOTGUN) 24-K.HERBERT LEFT GUARD TO CHI 25 FOR NO GAIN (93-C.CAMPBELL, 27-R.GRANT).",0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,965,0,0
2023123103,2023-12-31,2,13,16,CHI,ATL,3,10,25,0,0,"(13:16) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 18-R.TONYAN TO CHI 31 FOR 6 YARDS (27-R.GRANT). PENALTY ON CHI-64-N.DAVIS, TRIPPING, DECLINED.",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,25,OWN,0,CHI,0,TRIPPING,0,1004,0,0
2023123103,2023-12-31,2,12,44,CHI,ATL,4,4,31,0,0,"(12:44) 16-T.GILL PUNTS 41 YARDS TO ATL 28, CENTER-48-P.SCALES, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,1036,0,0
2023123103,2023-12-31,2,12,37,CHI,ATL,0,0,100,1,0,TIMEOUT AT 12:37.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1043,0,0
