GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,TB
2023123109,2023-12-31,4,7,50,TB,NO,0,0,85,1,0,"4-C.MCLAUGHLIN EXTRA POINT IS GOOD, CENTER-97-Z.TRINER, HOLDER-5-J.CAMARDA.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,17,3130,0,0
2023123109,2023-12-31,4,7,44,NO,TB,1,10,37,1,0,(7:44) 4-D.CARR PASS SHORT RIGHT TO 83-J.JOHNSON TO NO 49 FOR 12 YARDS (31-A.WINFIELD; 54-L.DAVID).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,17,3136,0,0
2023123109,2023-12-31,4,7,1,NO,TB,1,10,49,1,0,(7:01) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  21-J.WILLIAMS RIGHT END TO TB 34 FOR 17 YARDS (27-Z.MCCOLLUM; 31-A.WINFIELD).,0,2023,17,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,49,OWN,0,,0,,0,17,3179,0,0
2023123109,2023-12-31,4,6,16,NO,TB,1,10,66,0,0,(6:16) 21-J.WILLIAMS UP THE MIDDLE TO TB 31 FOR 3 YARDS (52-K.BRITT; 90-L.HALL).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OPP,0,,0,,0,17,3224,0,0
2023123109,2023-12-31,4,5,34,NO,TB,2,7,69,0,0,(5:34) (SHOTGUN) 7-T.HILL PASS INCOMPLETE SHORT RIGHT TO 83-J.JOHNSON (98-A.NELSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,17,3266,0,0
2023123109,2023-12-31,4,5,30,NO,TB,3,7,69,1,0,(5:30) (SHOTGUN) 46-A.PRENTICE UP THE MIDDLE TO TB 24 FOR 7 YARDS (45-D.WHITE).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,31,OPP,0,,0,,0,17,3270,0,0
2023123109,2023-12-31,4,4,49,NO,TB,1,10,76,0,0,"(4:49) (SHOTGUN) 73-M.GARCIA AND 70-T.PENNING REPORTED IN AS ELIGIBLE.  7-T.HILL LEFT GUARD TO TB 25 FOR -1 YARDS (0-Y.DIABY, 54-L.DAVID).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,24,OPP,0,,0,,0,17,3311,0,0
2023123109,2023-12-31,4,4,49,NO,TB,0,0,100,1,0,TIMEOUT #1 BY NO AT 04:49.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,3311,0,0
2023123109,2023-12-31,4,4,45,NO,TB,2,11,75,0,0,(4:45) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  21-J.WILLIAMS LEFT GUARD TO TB 20 FOR 5 YARDS (92-W.GHOLSTON).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OPP,0,,0,,0,17,3315,0,0
2023123109,2023-12-31,4,4,45,NO,TB,0,0,100,1,0,TIMEOUT #1 BY TB AT 04:45.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,3315,0,0
2023123109,2023-12-31,4,4,36,NO,TB,0,0,100,1,0,TIMEOUT #2 BY TB AT 04:36.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,3324,0,0
2023123109,2023-12-31,4,4,36,NO,TB,3,6,80,0,0,(4:36) (SHOTGUN) 21-J.WILLIAMS UP THE MIDDLE TO TB 15 FOR 5 YARDS (9-J.TRYON; 90-L.HALL).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OPP,0,,0,,0,17,3324,0,0
2023123109,2023-12-31,4,3,51,NO,TB,4,6,80,0,0,"(3:51) 19-B.GRUPE 38 YARD FIELD GOAL IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,17,3369,0,0
2023123109,2023-12-31,4,3,51,NO,TB,0,0,100,1,0,TIMEOUT #2 BY NO AT 03:51.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,3369,0,0
2023123109,2023-12-31,4,3,48,TB,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,3372,0,0
2023123109,2023-12-31,4,3,48,TB,NO,1,10,25,1,0,"(3:48) (SHOTGUN) 6-B.MAYFIELD PASS DEEP LEFT TO 10-T.PALMER TO NO 21 FOR 54 YARDS. FUMBLES, RECOVERED BY NO-27-I.YIADOM AT NO 13. 27-I.YIADOM TO NO 13 FOR NO GAIN (10-T.PALMER).",0,2023,54,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,,25,OWN,0,,0,,0,17,3372,0,0
