GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NYJ,CLE
2023122800,2023-12-28,1,2,46,NYJ,CLE,2,2,14,1,0,(2:46) (SHOTGUN) 14-T.SIEMIAN SCRAMBLES RIGHT GUARD TO NYJ 19 FOR 5 YARDS (44-S.TAKITAKI).,0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,734,0,0
2023122800,2023-12-28,1,2,12,NYJ,CLE,1,10,19,1,0,"(2:12) 14-T.SIEMIAN PASS SHORT MIDDLE INTENDED FOR 17-G.WILSON INTERCEPTED BY 33-R.HICKMAN AT NYJ 30. 33-R.HICKMAN FOR 30 YARDS, TOUCHDOWN.",0,2023,30,UNDER CENTER,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,1,0,0,0,0,,19,OWN,0,,0,,0,768,0,0
2023122800,2023-12-28,1,2,1,CLE,NYJ,0,0,100,1,0,TIMEOUT AT 02:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,779,0,0
2023122800,2023-12-28,1,2,1,NYJ,CLE,0,0,65,1,0,36-R.PATTERSON KICKS 61 YARDS FROM CLE 35 TO NYJ 4. 82-X.GIPSON TO NYJ 38 FOR 34 YARDS (42-T.FIELDS; 28-M.FORD).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,779,0,0
2023122800,2023-12-28,1,2,1,CLE,NYJ,0,0,85,1,0,"36-R.PATTERSON EXTRA POINT IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-39-M.HAACK.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,779,0,0
2023122800,2023-12-28,1,1,54,NYJ,CLE,1,5,43,0,0,"(1:54) 14-T.SIEMIAN PASS SHORT RIGHT TO 82-X.GIPSON RAN OB AT NYJ 48 FOR 5 YARDS (21-D.WARD). PENALTY ON NYJ, ILLEGAL FORMATION, 5 YARDS, ENFORCED AT NYJ 43 - NO PLAY.",0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,43,OWN,1,NYJ,1,ILLEGAL FORMATION,5,786,0,0
2023122800,2023-12-28,1,1,54,NYJ,CLE,1,10,38,0,0,"(1:54) PENALTY ON CLE-94-D.TOMLINSON, ENCROACHMENT, 5 YARDS, ENFORCED AT NYJ 38 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,38,OWN,1,CLE,1,ENCROACHMENT,5,786,0,0
2023122800,2023-12-28,1,1,36,NYJ,CLE,1,10,38,0,0,(1:36) (SHOTGUN) DIRECT SNAP TO 17-G.WILSON.  17-G.WILSON LEFT END TO NYJ 37 FOR -1 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,0,SHOTGUN,,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,804,0,0
2023122800,2023-12-28,1,0,58,NYJ,CLE,2,11,37,0,0,(:58) (SHOTGUN) 14-T.SIEMIAN PASS INCOMPLETE SHORT MIDDLE TO 88-K.YEBOAH (44-S.TAKITAKI).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,842,0,0
2023122800,2023-12-28,1,0,55,NYJ,CLE,3,16,32,0,0,"(:55) (SHOTGUN) 14-T.SIEMIAN PASS SHORT RIGHT TO 20-BRE.HALL PUSHED OB AT NYJ 43 FOR 11 YARDS (33-R.HICKMAN, 1-J.THORNHILL).",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,845,0,0
2023122800,2023-12-28,1,0,55,NYJ,CLE,3,11,37,0,0,"(:55) (SHOTGUN) PENALTY ON NYJ, OFFENSIVE TOO MANY MEN ON FIELD, 5 YARDS, ENFORCED AT NYJ 37 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,37,OWN,1,NYJ,1,OFFENSIVE TOO MANY MEN ON FIELD,5,845,0,0
2023122800,2023-12-28,1,0,8,NYJ,CLE,4,5,43,0,0,"(:08) 5-T.MORSTEAD PUNTS 57 YARDS TO END ZONE, CENTER-42-T.HENNESSY, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,892,0,0
2023122800,2023-12-28,2,15,0,CLE,NYJ,1,10,20,0,0,(15:00) 53-N.HARRIS REPORTED IN AS ELIGIBLE.  34-J.FORD RIGHT TACKLE TO CLE 24 FOR 4 YARDS (72-M.CLEMONS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,20,OWN,0,,0,,0,900,0,0
2023122800,2023-12-28,1,0,0,CLE,NYJ,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023122800,2023-12-28,2,14,21,CLE,NYJ,2,6,24,1,0,(14:21) 34-J.FORD LEFT END TO CLE 35 FOR 11 YARDS (22-T.ADAMS; 21-A.DAVIS).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,24,OWN,0,,0,,0,939,0,0
2023122800,2023-12-28,2,13,38,CLE,NYJ,1,10,35,0,0,"(13:38) PENALTY ON NYJ-94-S.THOMAS, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT CLE 35 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OWN,1,NYJ,1,NEUTRAL ZONE INFRACTION,5,982,0,0
2023122800,2023-12-28,2,13,29,CLE,NYJ,1,5,40,1,0,"(13:29) 15-J.FLACCO PASS SHORT RIGHT TO 85-D.NJOKU TO NYJ 45 FOR 15 YARDS (57-C.MOSLEY). FUMBLES (57-C.MOSLEY), TOUCHED AT NYJ 38, RECOVERED BY NYJ-57-C.MOSLEY AT NYJ 35.",0,2023,15,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,40,OWN,0,,0,,0,991,0,0
2023122800,2023-12-28,2,13,18,NYJ,CLE,1,10,35,0,0,(13:18) 20-BRE.HALL LEFT END TO NYJ 37 FOR 2 YARDS (44-S.TAKITAKI).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,35,OWN,0,,0,,0,1002,0,0
2023122800,2023-12-28,2,12,42,NYJ,CLE,2,8,37,0,0,(12:42) 14-T.SIEMIAN PASS INCOMPLETE SHORT LEFT TO 17-G.WILSON (23-M.EMERSON).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,1038,0,0
2023122800,2023-12-28,2,12,34,NYJ,CLE,3,8,37,0,0,(12:34) (SHOTGUN) 14-T.SIEMIAN PASS SHORT RIGHT TO 17-G.WILSON TO NYJ 40 FOR 3 YARDS (0-G.NEWSOME).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,1046,0,0
2023122800,2023-12-28,2,11,53,NYJ,CLE,4,5,40,0,0,"(11:53) 5-T.MORSTEAD PUNTS 39 YARDS TO CLE 21, CENTER-42-T.HENNESSY, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,1087,0,0
2023122800,2023-12-28,2,11,47,CLE,NYJ,1,10,21,0,0,(11:47) (SHOTGUN) 15-J.FLACCO PASS SHORT RIGHT TO 8-E.MOORE TO CLE 27 FOR 6 YARDS (1-A.GARDNER).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1093,0,0
2023122800,2023-12-28,2,11,47,CLE,NYJ,0,0,100,1,0,TIMEOUT AT 11:47.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1093,0,0
2023122800,2023-12-28,2,11,11,CLE,NYJ,2,4,27,0,0,(11:11) (SHOTGUN) 15-J.FLACCO PASS SHORT LEFT TO 8-E.MOORE PUSHED OB AT CLE 28 FOR 1 YARD (22-T.ADAMS; 4-D.REED).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,1129,0,0
2023122800,2023-12-28,2,10,37,CLE,NYJ,3,3,28,1,0,(10:37) (SHOTGUN) 15-J.FLACCO PASS DEEP RIGHT TO 8-E.MOORE TO NYJ 48 FOR 24 YARDS (3-J.WHITEHEAD).,0,2023,24,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,1163,0,0
2023122800,2023-12-28,2,9,48,CLE,NYJ,1,10,52,1,0,(9:48) 15-J.FLACCO PASS DEEP LEFT TO 84-J.AKINS TO NYJ 20 FOR 28 YARDS (4-D.REED).,0,2023,28,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,1212,0,0
2023122800,2023-12-28,2,8,59,CLE,NYJ,1,10,80,0,0,(8:59) (SHOTGUN) 20-P.STRONG LEFT END TO NYJ 16 FOR 4 YARDS (98-B.HECTOR; 94-S.THOMAS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,20,OPP,0,,0,,0,1261,0,0
