GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,HOU,PIT
2023100105,2023-10-01,2,14,11,HOU,PIT,2,7,35,1,0,(14:11) (SHOTGUN) 7-C.STROUD PASS DEEP MIDDLE TO 86-D.SCHULTZ TO PIT 36 FOR 29 YARDS (39-M.FITZPATRICK; 50-E.ROBERTS).,0,2023,29,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,4,949,0,0
2023100105,2023-10-01,2,13,44,HOU,PIT,1,10,64,1,0,(13:44) (NO HUDDLE) 31-D.PIERCE RIGHT GUARD TO PIT 24 FOR 12 YARDS (20-P.PETERSON).,0,2023,12,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,36,OPP,0,,0,,0,4,976,0,0
2023100105,2023-10-01,2,13,4,HOU,PIT,1,10,76,0,0,(13:04) 31-D.PIERCE UP THE MIDDLE TO PIT 20 FOR 4 YARDS (95-K.BENTON).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OPP,0,,0,,0,4,1016,0,0
2023100105,2023-10-01,2,12,22,HOU,PIT,2,6,80,0,0,(12:22) 7-C.STROUD PASS INCOMPLETE DEEP RIGHT TO 8-J.METCHIE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,4,1058,0,0
2023100105,2023-10-01,2,12,17,HOU,PIT,3,6,80,0,0,(12:17) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT LEFT TO 2-R.WOODS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,4,1063,0,0
2023100105,2023-10-01,2,12,13,HOU,PIT,4,6,80,0,0,"(12:13) 15-K.FAIRBAIRN 38 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-16-T.ZENTNER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,4,1067,0,0
2023100105,2023-10-01,2,12,9,PIT,HOU,0,0,65,1,0,15-K.FAIRBAIRN KICKS 65 YARDS FROM HOU 35 TO PIT 0. 25-D.KING PUSHED OB AT PIT 21 FOR 21 YARDS (48-C.HARRIS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,1071,0,0
2023100105,2023-10-01,2,12,9,HOU,PIT,0,0,100,1,0,TIMEOUT AT 12:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,1071,0,0
2023100105,2023-10-01,2,12,5,PIT,HOU,1,10,21,0,0,(12:05) (SHOTGUN) 8-K.PICKETT PASS SHORT LEFT TO 88-P.FREIERMUTH TO PIT 15 FOR -6 YARDS (92-D.HORTON).,0,2023,-6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,4,1075,0,0
2023100105,2023-10-01,2,11,25,PIT,HOU,2,16,15,0,0,(11:25) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 11-A.ROBINSON RAN OB AT PIT 23 FOR 8 YARDS.,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,4,1115,0,0
