GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TB,NO
2023100107,2023-10-01,1,3,46,TB,NO,3,7,40,0,0,(3:46) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 88-C.OTTON (28-L.JOHNSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,674,0,0
2023100107,2023-10-01,1,3,41,TB,NO,4,7,40,0,0,"(3:41) 5-J.CAMARDA PUNTS 41 YARDS TO NO 19, CENTER-97-Z.TRINER, FAIR CATCH BY 22-R.SHAHEED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,679,0,0
2023100107,2023-10-01,1,3,34,NO,TB,0,0,100,1,0,TIMEOUT AT 03:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,686,0,0
2023100107,2023-10-01,1,3,34,NO,TB,1,10,19,0,0,(3:34) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT LEFT TO 22-R.SHAHEED.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,686,0,0
2023100107,2023-10-01,1,3,30,NO,TB,2,10,19,0,0,(3:30) 41-A.KAMARA RIGHT GUARD TO NO 22 FOR 3 YARDS (0-Y.DIABY).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,19,OWN,0,,0,,0,690,0,0
2023100107,2023-10-01,1,2,56,NO,TB,3,7,22,1,0,(2:56) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 41-A.KAMARA PUSHED OB AT NO 32 FOR 10 YARDS (29-C.IZIEN).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,724,0,0
2023100107,2023-10-01,1,2,16,NO,TB,1,10,32,0,0,"(2:16) (SHOTGUN) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  7-T.HILL SCRAMBLES RIGHT END TO NO 41 FOR 9 YARDS (98-A.NELSON). PENALTY ON NO-74-J.HURST, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NO 32 - NO PLAY.",0,2023,9,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,32,OWN,1,NO,1,OFFENSIVE HOLDING,10,764,0,0
2023100107,2023-10-01,1,1,58,NO,TB,1,20,22,0,0,(1:58) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 41-A.KAMARA TO NO 30 FOR 8 YARDS (54-L.DAVID; 50-V.VEA).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,782,0,0
2023100107,2023-10-01,1,1,22,NO,TB,2,12,30,0,0,"(1:22) (NO HUDDLE, SHOTGUN) PENALTY ON TB-0-Y.DIABY, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT NO 30 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,30,OWN,1,TB,1,NEUTRAL ZONE INFRACTION,5,818,0,0
2023100107,2023-10-01,1,1,18,NO,TB,2,7,35,1,0,(1:18) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 22-R.SHAHEED PUSHED OB AT NO 46 FOR 11 YARDS (27-Z.MCCOLLUM).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,822,0,0
2023100107,2023-10-01,1,0,44,NO,TB,1,10,46,0,0,(:44) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 41-A.KAMARA TO NO 46 FOR NO GAIN (7-S.BARRETT).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,856,0,0
2023100107,2023-10-01,2,15,0,NO,TB,2,10,46,0,0,(15:00) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  4-D.CARR PASS SHORT RIGHT TO 25-K.MILLER PUSHED OB AT TB 49 FOR 5 YARDS (30-D.DELANEY).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,900,0,0
2023100107,2023-10-01,1,0,0,NO,TB,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023100107,2023-10-01,2,14,22,NO,TB,3,5,51,0,0,(14:22) (SHOTGUN) 4-D.CARR PASS INCOMPLETE DEEP LEFT TO 22-R.SHAHEED.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,938,0,0
2023100107,2023-10-01,2,14,17,NO,TB,4,5,51,0,0,"(14:17) 39-L.HEDLEY PUNTS 36 YARDS TO TB 13, CENTER-49-Z.WOOD, FAIR CATCH BY 83-D.THOMPKINS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,943,0,0
2023100107,2023-10-01,2,14,10,TB,NO,1,10,13,0,0,(14:10) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 21-K.VAUGHN TO TB 16 FOR 3 YARDS (20-P.WERNER).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,950,0,0
