GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,JAX,ATL
2023100100,2023-10-01,1,2,38,JAX,ATL,2,2,24,1,0,"(2:38) 73-B.HANCE REPORTED IN AS ELIGIBLE.  1-T.ETIENNE UP THE MIDDLE TO JAX 31 FOR 7 YARDS (53-N.LANDMAN, 27-R.GRANT).",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OWN,0,,0,,0,4,742,0,0
2023100100,2023-10-01,1,2,5,JAX,ATL,1,10,31,1,0,(2:05) 16-T.LAWRENCE PASS DEEP LEFT TO 13-C.KIRK TO ATL 39 FOR 30 YARDS (17-A.EBIKETIE).,0,2023,30,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,4,775,0,0
2023100100,2023-10-01,1,1,22,JAX,ATL,1,10,61,0,0,(1:22) (SHOTGUN) 4-T.BIGSBY LEFT TACKLE TO ATL 33 FOR 6 YARDS (53-N.LANDMAN).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,39,OPP,0,,0,,0,4,818,0,0
2023100100,2023-10-01,1,0,42,JAX,ATL,2,4,67,0,0,"(:42) 73-B.HANCE REPORTED IN AS ELIGIBLE.  4-T.BIGSBY LEFT END TO ATL 24 FOR 9 YARDS (27-R.GRANT). PENALTY ON JAX-85-B.STRANGE, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT ATL 31. PENALTY ON JAX-85-B.STRANGE, UNNECESSARY ROUGHNESS, DECLINED.",0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,33,OPP,0,JAX,0,OFFENSIVE HOLDING,0,4,858,0,0
2023100100,2023-10-01,1,0,17,JAX,ATL,2,12,59,0,0,(:17) (SHOTGUN) 16-T.LAWRENCE PASS SHORT MIDDLE TO 17-E.ENGRAM TO ATL 38 FOR 3 YARDS (53-N.LANDMAN).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,4,883,0,0
2023100100,2023-10-01,1,0,0,JAX,ATL,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,900,0,0
2023100100,2023-10-01,2,15,0,JAX,ATL,3,9,62,0,0,(15:00) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE DEEP RIGHT TO 13-C.KIRK [3-J.BATES].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,4,900,0,0
2023100100,2023-10-01,2,14,56,JAX,ATL,4,9,62,0,0,"(14:56) 10-B.MCMANUS 56 YARD FIELD GOAL IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,4,904,0,0
2023100100,2023-10-01,2,14,51,ATL,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,909,0,0
2023100100,2023-10-01,2,14,51,ATL,JAX,1,10,25,0,0,(14:51) (SHOTGUN) 7-B.ROBINSON LEFT END TO ATL 29 FOR 4 YARDS (5-A.CISCO).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,4,909,0,0
2023100100,2023-10-01,2,14,15,ATL,JAX,2,6,29,0,0,(14:15) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE SHORT MIDDLE TO 5-D.LONDON (31-DARI.WILLIAMS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,4,945,0,0
2023100100,2023-10-01,2,14,10,ATL,JAX,3,6,29,1,0,(14:10) (SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 81-J.SMITH TO ATL 44 FOR 15 YARDS (23-F.OLUOKUN).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,4,950,0,0
2023100100,2023-10-01,2,13,37,ATL,JAX,1,10,44,0,0,(13:37) (SHOTGUN) 7-B.ROBINSON RIGHT END TO ATL 45 FOR 1 YARD (23-F.OLUOKUN).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,44,OWN,0,,0,,0,4,983,0,0
2023100100,2023-10-01,2,12,53,ATL,JAX,2,9,45,0,0,(12:53) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE DEEP RIGHT TO 5-D.LONDON (32-TY.CAMPBELL).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,4,1027,0,0
2023100100,2023-10-01,2,12,47,ATL,JAX,3,9,45,0,0,(12:47) (SHOTGUN) 9-D.RIDDER SACKED AT ATL 31 FOR -14 YARDS (41-J.ALLEN).,0,2023,-14,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,4,1033,0,0
2023100100,2023-10-01,2,12,8,ATL,JAX,4,23,31,0,0,"(12:08) 13-B.PINION PUNTS 62 YARDS TO JAX 7, CENTER-49-L.MCCULLOUGH. 13-C.KIRK TO JAX 19 FOR 12 YARDS (32-J.HAWKINS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,4,1072,0,0
2023100100,2023-10-01,2,11,57,JAX,ATL,0,0,100,1,0,TIMEOUT AT 11:57.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,1083,0,0
2023100100,2023-10-01,2,11,57,JAX,ATL,1,10,19,0,0,"(11:57) (SHOTGUN) 16-T.LAWRENCE PASS SHORT MIDDLE TO 17-E.ENGRAM TO JAX 23 FOR 4 YARDS (3-J.BATES). FUMBLES (3-J.BATES), AND RECOVERS AT JAX 24. ATLANTA CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,1,0,,0,1,0,0,0,,19,OWN,0,,0,,0,4,1083,0,0
2023100100,2023-10-01,2,11,26,JAX,ATL,2,5,24,0,0,(11:26) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 13-C.KIRK TO JAX 27 FOR 3 YARDS (3-J.BATES; 20-D.ALFORD).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,4,1114,0,0
2023100100,2023-10-01,2,10,46,JAX,ATL,3,2,27,0,0,(10:46) (SHOTGUN) 16-T.LAWRENCE SCRAMBLES UP THE MIDDLE TO JAX 28 FOR 1 YARD (90-D.ONYEMATA; 48-B.DUPREE).,0,2023,1,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,4,1154,0,0
2023100100,2023-10-01,2,10,14,JAX,ATL,4,1,28,0,0,"(10:14) 9-L.COOKE PUNTS 59 YARDS TO ATL 13, CENTER-46-R.MATISCIK, FAIR CATCH BY 21-M.HUGHES.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,4,1186,0,0
2023100100,2023-10-01,2,10,8,ATL,JAX,1,10,13,0,0,(10:08) 25-T.ALLGEIER RIGHT TACKLE TO ATL 18 FOR 5 YARDS (42-A.WINGARD).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,13,OWN,0,,0,,0,4,1192,0,0
2023100100,2023-10-01,2,9,24,ATL,JAX,2,5,18,0,0,"(9:24) (SHOTGUN) 25-T.ALLGEIER LEFT TACKLE TO ATL 15 FOR -3 YARDS (23-F.OLUOKUN, 90-A.BLACKSON).",0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,18,OWN,0,,0,,0,4,1236,0,0
2023100100,2023-10-01,2,8,40,ATL,JAX,3,8,15,1,0,(8:40) (SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 7-B.ROBINSON PUSHED OB AT ATL 24 FOR 9 YARDS (23-F.OLUOKUN) [45-K.CHAISSON].,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,4,1280,0,0
2023100100,2023-10-01,2,8,4,ATL,JAX,1,10,24,0,0,(8:04) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 81-J.SMITH TO ATL 31 FOR 7 YARDS (48-C.MUMA).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,4,1316,0,0
